gene_symbol,category,guide_site_support_pattern,n_contexts_guide_targetable,n_studies_with_support,notes,guide_targetable_homeostatic,promoter_any_peak_overlap_homeostatic,promoter_midpoint_accessible_homeostatic,guide_targetable_PP_control,promoter_any_peak_overlap_PP_control,promoter_midpoint_accessible_PP_control,guide_targetable_PL_acute_LPS,promoter_any_peak_overlap_PL_acute_LPS,promoter_midpoint_accessible_PL_acute_LPS,guide_targetable_LL_tolerized,promoter_any_peak_overlap_LL_tolerized,promoter_midpoint_accessible_LL_tolerized,guide_targetable_sham_WT,promoter_any_peak_overlap_sham_WT,promoter_midpoint_accessible_sham_WT,guide_targetable_stroke_WT,promoter_any_peak_overlap_stroke_WT,promoter_midpoint_accessible_stroke_WT
Il1b,inflammation,multi_study_support,2,2,"Guide-site support was observed in: PL_acute_LPS; sham_WT. Cross-study differences are descriptive and may reflect biology, protocol, depth, or cell composition.",False,False,False,False,False,False,True,True,True,False,False,False,True,True,True,False,False,False
Tnf,inflammation,multi_study_support,5,2,"Guide-site support was observed in: PP_control; PL_acute_LPS; LL_tolerized; sham_WT; stroke_WT. Cross-study differences are descriptive and may reflect biology, protocol, depth, or cell composition.",False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
Nfkb1,inflammation,all_six_contexts,6,3,At least one complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in all six surveyed contexts.,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Il1rn,inflammation,multi_study_support,4,2,"Guide-site support was observed in: PL_acute_LPS; LL_tolerized; sham_WT; stroke_WT. Cross-study differences are descriptive and may reflect biology, protocol, depth, or cell composition.",False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False
Il4ra,inflammation,multi_study_support,5,2,"Guide-site support was observed in: PP_control; PL_acute_LPS; LL_tolerized; sham_WT; stroke_WT. Cross-study differences are descriptive and may reflect biology, protocol, depth, or cell composition.",False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Trem2,phagocytosis,all_six_contexts,6,3,At least one complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in all six surveyed contexts.,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Tyrobp,phagocytosis,multi_study_support,5,2,"Guide-site support was observed in: PP_control; PL_acute_LPS; LL_tolerized; sham_WT; stroke_WT. Cross-study differences are descriptive and may reflect biology, protocol, depth, or cell composition.",False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Mertk,phagocytosis,all_six_contexts,6,3,At least one complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in all six surveyed contexts.,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Cd36,phagocytosis,no_surveyed_context,0,0,No complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in the surveyed contexts; this is not evidence of functional non-activatability.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Megf10,phagocytosis,multi_study_support,2,2,"Guide-site support was observed in: homeostatic; stroke_WT. Cross-study differences are descriptive and may reflect biology, protocol, depth, or cell composition.",True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True
Axl,phagocytosis,single_study_support,1,1,"Guide-site support was observed in: stroke_WT. Cross-study differences are descriptive and may reflect biology, protocol, depth, or cell composition.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
Abca1,lipid_metabolism,all_six_contexts,6,3,At least one complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in all six surveyed contexts.,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Abcg1,lipid_metabolism,multi_study_support,5,2,"Guide-site support was observed in: PP_control; PL_acute_LPS; LL_tolerized; sham_WT; stroke_WT. Cross-study differences are descriptive and may reflect biology, protocol, depth, or cell composition.",False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Pparg,lipid_metabolism,no_surveyed_context,0,0,No complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in the surveyed contexts; this is not evidence of functional non-activatability.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nr1h3,lipid_metabolism,multi_study_support,4,2,"Guide-site support was observed in: PL_acute_LPS; LL_tolerized; sham_WT; stroke_WT. Cross-study differences are descriptive and may reflect biology, protocol, depth, or cell composition.",False,False,False,False,False,False,True,True,False,True,True,False,True,True,True,True,True,True
Lpl,lipid_metabolism,no_surveyed_context,0,0,No complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in the surveyed contexts; this is not evidence of functional non-activatability.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Apoe,lipid_metabolism,single_study_support,2,1,"Guide-site support was observed in: sham_WT; stroke_WT. Cross-study differences are descriptive and may reflect biology, protocol, depth, or cell composition.",False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
Lipa,lipid_metabolism,all_six_contexts,6,3,At least one complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in all six surveyed contexts.,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bdnf,neuroprotection,no_surveyed_context,0,0,No complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in the surveyed contexts; this is not evidence of functional non-activatability.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Igf1,neuroprotection,single_study_support,1,1,"Guide-site support was observed in: homeostatic. Cross-study differences are descriptive and may reflect biology, protocol, depth, or cell composition.",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Csf1,neuroprotection,all_six_contexts,6,3,At least one complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in all six surveyed contexts.,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Gdnf,neuroprotection,no_surveyed_context,0,0,No complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in the surveyed contexts; this is not evidence of functional non-activatability.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Vegfa,neuroprotection,multi_study_support,5,2,"Guide-site support was observed in: PP_control; PL_acute_LPS; LL_tolerized; sham_WT; stroke_WT. Cross-study differences are descriptive and may reflect biology, protocol, depth, or cell composition.",False,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True
P2ry12,microglial_identity,no_surveyed_context,0,0,No complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in the surveyed contexts; this is not evidence of functional non-activatability.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tmem119,microglial_identity,no_surveyed_context,0,0,No complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in the surveyed contexts; this is not evidence of functional non-activatability.,False,True,False,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True
Hexb,microglial_identity,no_surveyed_context,0,0,No complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in the surveyed contexts; this is not evidence of functional non-activatability.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cx3cr1,microglial_identity,no_surveyed_context,0,0,No complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in the surveyed contexts; this is not evidence of functional non-activatability.,False,False,False,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True
Sall1,microglial_identity,all_six_contexts,6,3,At least one complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in all six surveyed contexts.,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Siglech,microglial_identity,multi_study_support,5,3,"Guide-site support was observed in: homeostatic; PP_control; PL_acute_LPS; LL_tolerized; stroke_WT. Cross-study differences are descriptive and may reflect biology, protocol, depth, or cell composition.",True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True
Spi1,microglial_identity,no_surveyed_context,0,0,No complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in the surveyed contexts; this is not evidence of functional non-activatability.,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Irf8,microglial_identity,all_six_contexts,6,3,At least one complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in all six surveyed contexts.,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Csf1r,microglial_identity,multi_study_support,5,2,"Guide-site support was observed in: PP_control; PL_acute_LPS; LL_tolerized; sham_WT; stroke_WT. Cross-study differences are descriptive and may reflect biology, protocol, depth, or cell composition.",False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Grn,neuroprotection,all_six_contexts,6,3,At least one complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in all six surveyed contexts.,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Hdac1,epigenetic_regulation,all_six_contexts,6,3,At least one complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in all six surveyed contexts.,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Hdac2,epigenetic_regulation,no_surveyed_context,0,0,No complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in the surveyed contexts; this is not evidence of functional non-activatability.,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True
Tet2,epigenetic_regulation,no_surveyed_context,0,0,No complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in the surveyed contexts; this is not evidence of functional non-activatability.,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True
Dnmt3a,epigenetic_regulation,no_surveyed_context,0,0,No complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in the surveyed contexts; this is not evidence of functional non-activatability.,False,False,False,False,True,True,False,True,True,False,True,True,False,False,False,False,True,True
Arg1,inflammation,single_study_support,1,1,"Guide-site support was observed in: stroke_WT. Cross-study differences are descriptive and may reflect biology, protocol, depth, or cell composition.",False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
Chil3,inflammation,no_surveyed_context,0,0,No complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in the surveyed contexts; this is not evidence of functional non-activatability.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mrc1,inflammation,all_six_contexts,6,3,At least one complete Un1Cas12f1 protospacer+PAM site was contained in a primary ATAC peak in all six surveyed contexts.,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
