id	source_chrom	source_start	source_end	label	mapped_chrom	mapped_start	mapped_end	status
BL000043	chr10	21642200	21649600	Low Mappability	chr10	21518099	21525499	mapped
BL000044	chr10	21727800	21736400	Low Mappability	chr10	21603699	21612299	mapped
BL000045	chr10	22031300	22063500	High Signal Region	chr10	21907199	21939399	mapped
BL000046	chr10	22127200	22164500	High Signal Region	chr10	22003099	22040399	mapped
BL000047	chr10	22186700	22290500	High Signal Region	chr10	22062599	22166399	mapped
BL000048	chr10	22369100	22472300	High Signal Region	chr10	22244999	22348199	mapped
BL000049	chr10	22683100	22690600	Low Mappability	chr10	22558999	22566499	mapped
BL000050	chr10	22935900	22941800	High Signal Region	chr10	22811799	22817699	mapped
BL000051	chr10	24687500	24691700	Low Mappability	chr10	24563398	24567598	mapped
BL000052	chr10	25091400	25106900	Low Mappability	chr10	24967298	24982798	mapped
BL000053	chr10	25622900	25629400	Low Mappability	chr10	25498798	25505298	mapped
BL000054	chr10	25968400	25973400	Low Mappability	chr10	25844298	25849298	mapped
BL000055	chr10	26641500	26662800	Low Mappability	chr10	26517496	26538796	mapped
BL000056	chr10	27403200	27407600	High Signal Region	chr10	27279196	27283596	mapped
BL000057	chr10	27904000	27909500	High Signal Region	chr10	27779996	27785496	mapped
BL000058	chr10	28908500	28940600	High Signal Region	chr10	28784496	28816596	mapped
BL000059	chr10	29243900	29249600	High Signal Region	chr10	29119896	29125596	mapped
BL000060	chr10	29924300	29930700	Low Mappability	chr10	29800296	29806696	mapped
BL000061	chr10	29954000	29971900	High Signal Region	chr10	29829996	29847896	mapped
BL000062	chr10	30553000	30577100	High Signal Region	chr10	30428996	30453096	mapped
BL000063	chr10	31054900	31095900	Low Mappability	chr10	30930896	30971896	mapped
BL000064	chr10	31406500	31411100	High Signal Region	chr10	31282496	31287096	mapped
BL000065	chr10	31750000	31757100	Low Mappability	chr10	31625996	31633096	mapped
BL000066	chr10	31878400	31885800	High Signal Region	chr10	31754396	31761796	mapped
BL000067	chr10	31980100	32000400	Low Mappability	chr10	31856096	31876396	mapped
BL000068	chr10	32039700	32045000	High Signal Region	chr10	31915696	31920996	mapped
BL000069	chr10	32176100	32182400	High Signal Region	chr10	32052096	32058396	mapped
BL000070	chr10	32499200	32529900	High Signal Region	chr10	32375196	32405896	mapped
BL000071	chr10	32816400	32857200	High Signal Region	chr10	32692396	32733196	mapped
BL000072	chr10	33315300	33319800	High Signal Region	chr10	33191296	33195796	mapped
BL000073	chr10	33492300	33508900	High Signal Region	chr10	33368296	33384896	mapped
BL000074	chr10	33886600	33901100	Low Mappability	chr10	33762596	33777096	mapped
BL000075	chr10	34739400	34749100	Low Mappability	chr10	34615396	34625096	mapped
BL000076	chr10	35669300	35725500	High Signal Region	chr10	35545296	35601496	mapped
BL000077	chr10	36130200	36135500	High Signal Region	chr10	36006196	36011496	mapped
BL000078	chr10	36160700	36166700	High Signal Region	chr10	36036696	36042696	mapped
BL000079	chr10	36594500	36597500	Low Mappability	chr10	36470496	36473496	mapped
BL000080	chr10	36942200	36948800	Low Mappability	chr10	36818196	36824796	mapped
BL000081	chr10	37186500	37189300	High Signal Region	chr10	37062496	37065296	mapped
BL000082	chr10	37799700	37821400	High Signal Region	chr10	37675696	37697396	mapped
BL000083	chr10	37964600	37970100	High Signal Region	chr10	37840596	37846096	mapped
BL000084	chr10	38590100	38606100	High Signal Region	chr10	38466096	38482096	mapped
BL000085	chr10	38637900	38644200	High Signal Region	chr10	38513896	38520196	mapped
BL000086	chr10	38729400	38782700	High Signal Region	chr10	38605396	38658696	mapped
BL000087	chr10	38933500	38956500	High Signal Region	chr10	38809496	38832496	mapped
BL000088	chr10	39126700	39129400	High Signal Region	chr10	39002696	39005396	mapped
BL000089	chr10	39760700	39764700	High Signal Region	chr10	39636696	39640696	mapped
BL000090	chr10	41185700	41195800	High Signal Region	chr10	41061696	41071796	mapped
BL000091	chr10	41840500	41859100	Low Mappability	chr10	41716496	41735096	mapped
BL000092	chr10	43769400	43773800	High Signal Region	chr10	43645396	43649796	mapped
BL000093	chr10	44206300	44254100	High Signal Region	chr10	44082296	44130096	mapped
BL000094	chr10	45515000	45588000	Low Mappability	chr10	45391096	45464096	mapped
BL000095	chr10	45624800	45628400	High Signal Region	chr10	45500896	45504496	mapped
BL000096	chr10	46136500	46139300	High Signal Region	chr10	46012596	46015396	mapped
BL000097	chr10	46468300	46472100	High Signal Region	chr10	46344396	46348196	mapped
BL000098	chr10	46500500	46538800	High Signal Region	chr10	46376596	46414896	mapped
BL000099	chr10	46789300	46812500	High Signal Region	chr10	46665396	46688596	mapped
BL000100	chr10	46966700	47009000	High Signal Region	chr10	46842796	46885096	mapped
BL000101	chr10	47048600	47074700	Low Mappability	chr10	46924696	46950796	mapped
BL000102	chr10	47663600	47683500	High Signal Region	chr10	47539696	47559596	mapped
BL000103	chr10	47743600	47758500	High Signal Region	chr10	47619696	47634596	mapped
BL000104	chr10	47875400	47881600	High Signal Region	chr10	47751496	47757696	mapped
BL000105	chr10	48032400	48058800	High Signal Region	chr10	47908496	47934896	mapped
BL000106	chr10	48677400	48682800	High Signal Region	chr10	48553496	48558896	mapped
BL000107	chr10	49823500	49842200	High Signal Region	chr10	49699596	49718296	mapped
BL000108	chr10	50029200	50035300	High Signal Region	chr10	49905296	49911396	mapped
BL000109	chr10	50109900	50115500	High Signal Region	chr10	49985996	49991596	mapped
BL000110	chr10	50178500	50184800	High Signal Region	chr10	50054596	50060896	mapped
BL000111	chr10	50253700	50296500	High Signal Region	chr10	50129796	50172596	mapped
BL000112	chr10	50333400	50335300	High Signal Region	chr10	50209496	50211396	mapped
BL000113	chr10	50524000	50553900	High Signal Region	chr10	50400096	50429996	mapped
BL000114	chr10	51126200	51132900	High Signal Region	chr10	51002296	51008996	mapped
BL000115	chr10	51436800	51448000	High Signal Region	chr10	51312896	51324096	mapped
BL000116	chr10	51470300	51474900	High Signal Region	chr10	51346396	51350996	mapped
BL000117	chr10	51882900	51888000	Low Mappability	chr10	51758996	51764096	mapped
BL000118	chr10	52052600	52059000	Low Mappability	chr10	51928696	51935096	mapped
BL000119	chr10	52089600	52148500	High Signal Region	chr10	51965696	52024596	mapped
BL000120	chr10	52522600	52599800	High Signal Region	chr10	52398696	52475896	mapped
BL000121	chr10	53073900	53081100	High Signal Region	chr10	52949996	52957196	mapped
BL000122	chr10	53569600	53576000	Low Mappability	chr10	53445696	53452096	mapped
BL000123	chr10	54216200	54222900	High Signal Region	chr10	54092296	54098996	mapped
BL000124	chr10	54588800	54619900	Low Mappability	chr10	54464896	54495996	mapped
BL000125	chr10	55080400	55090500	High Signal Region	chr10	54956496	54966596	mapped
BL000126	chr10	55654500	55659600	High Signal Region	chr10	55530596	55535696	mapped
BL000127	chr10	55715600	55751000	High Signal Region	chr10	55591696	55627096	mapped
BL000128	chr10	55841700	55847900	High Signal Region	chr10	55717796	55723996	mapped
BL000129	chr10	56250200	56293900	High Signal Region	chr10	56126296	56169996	mapped
BL000130	chr10	56701000	56728000	High Signal Region	chr10	56577096	56604096	mapped
BL000131	chr10	56894100	56897300	High Signal Region	chr10	56770196	56773396	mapped
BL000132	chr10	57099200	57153200	High Signal Region	chr10	56975296	57029296	mapped
BL000133	chr10	57239100	57245400	High Signal Region	chr10	57115196	57121496	mapped
BL000134	chr10	57326900	57333900	High Signal Region	chr10	57202996	57209996	mapped
BL000135	chr10	57434000	57456500	High Signal Region	chr10	57310096	57332596	mapped
BL000136	chr10	57678600	57684900	High Signal Region	chr10	57554696	57560996	mapped
BL000137	chr10	57862800	58240900	High Signal Region				unmapped
BL000138	chr10	58566200	58570900	High Signal Region	chr10	58402022	58406722	mapped
BL000139	chr10	59381400	59396800	Low Mappability	chr10	59217222	59232622	mapped
BL000140	chr10	59850500	59922300	Low Mappability	chr10	59686322	59758122	mapped
BL000141	chr10	60444900	60446800	High Signal Region	chr10	60280679	60282579	mapped
BL000142	chr10	60546600	60553100	Low Mappability	chr10	60382379	60388879	mapped
BL000143	chr10	61373100	61375000	High Signal Region	chr10	61208879	61210779	mapped
BL000144	chr10	63103900	63111200	Low Mappability	chr10	62939679	62946979	mapped
BL000145	chr10	63508800	63519000	High Signal Region	chr10	63344579	63354779	mapped
BL000146	chr10	63833800	63835000	High Signal Region	chr10	63669579	63670779	mapped
BL000147	chr10	64418600	64420000	High Signal Region	chr10	64254379	64255779	mapped
BL000148	chr10	65166300	65172600	High Signal Region	chr10	65002079	65008379	mapped
BL000149	chr10	65450400	65477700	High Signal Region	chr10	65286179	65313479	mapped
BL000150	chr10	65638900	65670200	High Signal Region	chr10	65474679	65505979	mapped
BL000151	chr10	65938900	65956300	Low Mappability	chr10	65774679	65792079	mapped
BL000152	chr10	66422900	66431000	High Signal Region	chr10	66258679	66266779	mapped
BL000153	chr10	66662400	66678300	High Signal Region	chr10	66498179	66514079	mapped
BL000154	chr10	69030100	69065800	High Signal Region	chr10	68865930	68901630	mapped
BL000155	chr10	70657500	70668500	High Signal Region	chr10	70493330	70504330	mapped
BL000156	chr10	70785400	70798600	Low Mappability	chr10	70621230	70634430	mapped
BL000157	chr10	71012700	71019200	Low Mappability	chr10	70848530	70855030	mapped
BL000158	chr10	71111600	71114200	Low Mappability	chr10	70947430	70950030	mapped
BL000159	chr10	71510600	71637800	High Signal Region	chr10	71346430	71473630	mapped
BL000160	chr10	71691300	71698600	Low Mappability	chr10	71527130	71534430	mapped
BL000161	chr10	72292400	72314300	High Signal Region	chr10	72128230	72150130	mapped
BL000162	chr10	72359200	72360700	High Signal Region	chr10	72195030	72196530	mapped
BL000163	chr10	72493500	72499200	High Signal Region	chr10	72329332	72335032	mapped
BL000164	chr10	72590700	72591900	High Signal Region	chr10	72426532	72427732	mapped
BL000165	chr10	72690900	72709500	High Signal Region	chr10	72526732	72545332	mapped
BL000166	chr10	73378200	73380100	High Signal Region	chr10	73214032	73215932	mapped
BL000167	chr10	73576400	73601900	High Signal Region	chr10	73412232	73437732	mapped
BL000168	chr10	74433300	74439500	High Signal Region	chr10	74269132	74275332	mapped
BL000169	chr10	74655700	74672200	High Signal Region	chr10	74491532	74508032	mapped
BL000170	chr10	74715300	74746600	High Signal Region	chr10	74551132	74582432	mapped
BL000171	chr10	74857500	74888000	High Signal Region	chr10	74693332	74723832	mapped
BL000172	chr10	76835100	76852400	High Signal Region	chr10	76670934	76688234	mapped
BL000173	chr10	77950600	77979500	Low Mappability	chr10	77786434	77815334	mapped
BL000174	chr10	78008300	78028800	Low Mappability	chr10	77844134	77864634	mapped
BL000175	chr10	78637000	78696000	High Signal Region	chr10	78472834	78531834	mapped
BL000176	chr10	78731500	78735800	High Signal Region	chr10	78567334	78571634	mapped
BL000177	chr10	78803500	78823100	Low Mappability	chr10	78639334	78658934	mapped
BL000178	chr10	79207800	79259400	High Signal Region	chr10	79043634	79095234	mapped
BL000179	chr10	79314000	79354000	Low Mappability	chr10	79149834	79189834	mapped
BL000180	chr10	80102300	80116000	High Signal Region	chr10	79938134	79951834	mapped
BL000181	chr10	80928600	80996300	Low Mappability	chr10	80764434	80832134	mapped
BL000182	chr10	81167600	81199400	High Signal Region	chr10	81003434	81035234	mapped
BL000183	chr10	81600900	81997900	High Signal Region	chr10	81436734	81833734	mapped
BL000184	chr10	82517500	82538800	High Signal Region	chr10	82353334	82374634	mapped
BL000185	chr10	82571100	82575200	High Signal Region	chr10	82406934	82411034	mapped
BL000186	chr10	82939800	82956300	High Signal Region	chr10	82775634	82792134	mapped
BL000187	chr10	83386600	83392400	Low Mappability	chr10	83222464	83228264	mapped
BL000188	chr10	83670800	83678100	Low Mappability	chr10	83506664	83513964	mapped
BL000189	chr10	83768200	83792700	Low Mappability	chr10	83604064	83628564	mapped
BL000190	chr10	84155900	84180800	Low Mappability	chr10	83991764	84016664	mapped
BL000191	chr10	84436900	84473700	Low Mappability	chr10	84272764	84309564	mapped
BL000192	chr10	84744500	84750100	Low Mappability	chr10	84580364	84585964	mapped
BL000193	chr10	85413200	85419700	Low Mappability	chr10	85249064	85255564	mapped
BL000194	chr10	85696600	85732800	High Signal Region	chr10	85532464	85568664	mapped
BL000195	chr10	85840200	85872500	High Signal Region	chr10	85676064	85708364	mapped
BL000196	chr10	86561700	86565700	High Signal Region	chr10	86397564	86401564	mapped
BL000197	chr10	88628700	88658500	Low Mappability	chr10	88464562	88494362	mapped
BL000198	chr10	88963900	88968200	Low Mappability	chr10	88799762	88804062	mapped
BL000199	chr10	89398700	89400100	High Signal Region	chr10	89234562	89235962	mapped
BL000200	chr10	89949700	89964500	High Signal Region	chr10	89785562	89800362	mapped
BL000201	chr10	90249000	90255300	High Signal Region	chr10	90084862	90091162	mapped
BL000202	chr10	90324500	90329800	Low Mappability	chr10	90160362	90165662	mapped
BL000203	chr10	90471200	90474200	Low Mappability	chr10	90307062	90310062	mapped
BL000204	chr10	91252200	91256900	High Signal Region	chr10	91088062	91092762	mapped
BL000205	chr10	91928900	91944500	High Signal Region	chr10	91764762	91780362	mapped
BL000206	chr10	92909200	92915800	High Signal Region	chr10	92745062	92751662	mapped
BL000207	chr10	94362500	94369300	Low Mappability	chr10	94198362	94205162	mapped
BL000208	chr10	94591500	94610000	High Signal Region	chr10	94427362	94445862	mapped
BL000209	chr10	94871200	94873100	High Signal Region	chr10	94707062	94708962	mapped
BL000210	chr10	96068700	96078800	High Signal Region	chr10	95904562	95914662	mapped
BL000211	chr10	96157200	96162600	Low Mappability	chr10	95993062	95998462	mapped
BL000212	chr10	96192400	96199800	Low Mappability	chr10	96028262	96035662	mapped
BL000213	chr10	97320500	97329700	High Signal Region	chr10	97156362	97165562	mapped
BL000214	chr10	97525500	97534200	Low Mappability	chr10	97361362	97370062	mapped
BL000215	chr10	97755000	97761200	High Signal Region	chr10	97590862	97597062	mapped
BL000216	chr10	97896600	97920300	High Signal Region	chr10	97732462	97756162	mapped
BL000217	chr10	98337800	98343700	High Signal Region	chr10	98173662	98179562	mapped
BL000218	chr10	98433100	98444100	High Signal Region	chr10	98268962	98279962	mapped
BL000219	chr10	100310500	100395900	High Signal Region	chr10	100146362	100231762	mapped
BL000220	chr10	102667700	102669600	High Signal Region	chr10	102503561	102505461	mapped
BL000221	chr10	102859800	102861500	High Signal Region	chr10	102695661	102697361	mapped
BL000222	chr10	103500200	103519100	High Signal Region	chr10	103336061	103354961	mapped
BL000223	chr10	103547000	103548600	High Signal Region	chr10	103382861	103384461	mapped
BL000224	chr10	103569600	103575200	High Signal Region	chr10	103405461	103411061	mapped
BL000225	chr10	103600400	103684400	High Signal Region	chr10	103436261	103520261	mapped
BL000226	chr10	103936700	103942500	High Signal Region	chr10	103772561	103778361	mapped
BL000227	chr10	104380700	104382300	High Signal Region	chr10	104216561	104218161	mapped
BL000228	chr10	104493600	104499800	High Signal Region	chr10	104329461	104335661	mapped
BL000229	chr10	104539700	104562500	Low Mappability	chr10	104375561	104398361	mapped
BL000230	chr10	104748100	104771500	High Signal Region	chr10	104583961	104607361	mapped
BL000231	chr10	104819400	104862500	Low Mappability	chr10	104655261	104698361	mapped
BL000232	chr10	104966900	105001700	Low Mappability	chr10	104802761	104837561	mapped
BL000233	chr10	105177000	105181900	Low Mappability	chr10	105012861	105017761	mapped
BL000234	chr10	105672500	105678000	Low Mappability	chr10	105508361	105513861	mapped
BL000235	chr10	106166900	106235700	High Signal Region	chr10	106002761	106071561	mapped
BL000236	chr10	106382800	106403000	High Signal Region	chr10	106218661	106238861	mapped
BL000237	chr10	106427100	106453600	High Signal Region	chr10	106262961	106289461	mapped
BL000238	chr10	106529600	106535200	Low Mappability	chr10	106365461	106371061	mapped
BL000239	chr10	107125500	107136900	Low Mappability	chr10	106961361	106972761	mapped
BL000240	chr10	107551800	107560700	High Signal Region	chr10	107387661	107396561	mapped
BL000241	chr10	107845300	107863900	High Signal Region	chr10	107681161	107699761	mapped
BL000242	chr10	107978900	108006700	Low Mappability	chr10	107814761	107842561	mapped
BL000243	chr10	109212600	109216800	High Signal Region	chr10	109048461	109052661	mapped
BL000244	chr10	109315100	109322400	Low Mappability	chr10	109150961	109158261	mapped
BL000245	chr10	109941600	109948000	High Signal Region	chr10	109777461	109783861	mapped
BL000246	chr10	110104900	110111300	Low Mappability	chr10	109940761	109947161	mapped
BL000247	chr10	110504500	110516000	High Signal Region	chr10	110340361	110351861	mapped
BL000248	chr10	110667700	110700900	Low Mappability	chr10	110503561	110536761	mapped
BL000249	chr10	111217500	111219000	High Signal Region	chr10	111053361	111054861	mapped
BL000250	chr10	112013700	112021700	High Signal Region	chr10	111849605	111857605	mapped
BL000251	chr10	112053500	112058400	Low Mappability	chr10	111889405	111894305	mapped
BL000252	chr10	112540600	112542100	High Signal Region	chr10	112376505	112378005	mapped
BL000253	chr10	112587000	112611100	High Signal Region	chr10	112422905	112447005	mapped
BL000254	chr10	112682400	112722100	Low Mappability	chr10	112518305	112558005	mapped
BL000255	chr10	113722600	113729800	Low Mappability	chr10	113558505	113565705	mapped
BL000256	chr10	114167300	114174900	High Signal Region	chr10	114003205	114010805	mapped
BL000257	chr10	114736400	114738300	High Signal Region	chr10	114572305	114574205	mapped
BL000258	chr10	114860600	114866900	High Signal Region	chr10	114696505	114702805	mapped
BL000259	chr10	115641300	115643100	High Signal Region	chr10	115477205	115479005	mapped
BL000260	chr10	116606200	116613400	Low Mappability	chr10	116442105	116449305	mapped
BL000261	chr10	116762000	116764200	High Signal Region	chr10	116597905	116600105	mapped
BL000262	chr10	116878000	116879900	High Signal Region	chr10	116713905	116715805	mapped
BL000263	chr10	117476200	117491000	High Signal Region	chr10	117312105	117326905	mapped
BL000264	chr10	118014300	118033200	High Signal Region	chr10	117850205	117869105	mapped
BL000265	chr10	118054000	118076600	High Signal Region	chr10	117889905	117912505	mapped
BL000266	chr10	118199900	118279700	Low Mappability	chr10	118035805	118115605	mapped
BL000267	chr10	118910200	118917100	High Signal Region	chr10	118746105	118753005	mapped
BL000268	chr10	118937400	118953000	Low Mappability	chr10	118773305	118788905	mapped
BL000269	chr10	119698800	119701600	Low Mappability	chr10	119534705	119537505	mapped
BL000270	chr10	120974800	120977500	High Signal Region	chr10	120810705	120813405	mapped
BL000271	chr10	121136000	121143400	Low Mappability	chr10	120971905	120979305	mapped
BL000272	chr10	121164700	121169300	Low Mappability	chr10	121000605	121005205	mapped
BL000273	chr10	121566100	121580200	High Signal Region	chr10	121402005	121416105	mapped
BL000274	chr10	121707800	121713500	High Signal Region	chr10	121543705	121549405	mapped
BL000275	chr10	121762300	121769400	High Signal Region	chr10	121598205	121605305	mapped
BL000276	chr10	122141100	122166000	High Signal Region	chr10	121977005	122001905	mapped
BL000277	chr10	122346900	122371300	Low Mappability	chr10	122182805	122207205	mapped
BL000278	chr10	122632400	122638000	High Signal Region	chr10	122468305	122473905	mapped
BL000279	chr10	122832900	122839300	High Signal Region	chr10	122668805	122675205	mapped
BL000280	chr10	123792900	123797100	High Signal Region	chr10	123628805	123633005	mapped
BL000281	chr10	124412900	124433300	High Signal Region	chr10	124248805	124269205	mapped
BL000282	chr10	124576300	124583500	Low Mappability	chr10	124412205	124419405	mapped
BL000283	chr10	124605700	124611000	Low Mappability	chr10	124441605	124446905	mapped
BL000284	chr10	124680500	124686200	Low Mappability	chr10	124516405	124522105	mapped
BL000285	chr10	124760500	124788800	High Signal Region	chr10	124596405	124624705	mapped
BL000286	chr10	125819500	125825700	High Signal Region	chr10	125655369	125661569	mapped
BL000287	chr10	125869000	125871400	High Signal Region	chr10	125704869	125707269	mapped
BL000288	chr10	126262200	126291600	Low Mappability	chr10	126098069	126127469	mapped
BL000289	chr10	127779500	127797900	High Signal Region	chr10	127615369	127633769	mapped
BL000290	chr10	129189500	129217200	High Signal Region	chr10	129025369	129053069	mapped
BL000291	chr10	129388700	129419600	Low Mappability	chr10	129224569	129255469	mapped
BL000292	chr10	129443000	129454800	High Signal Region	chr10	129278869	129290669	mapped
BL000293	chr10	129734500	129736400	High Signal Region	chr10	129570369	129572269	mapped
BL000294	chr10	129925300	129940600	Low Mappability	chr10	129761169	129776469	mapped
BL000295	chr10	130039500	130052900	High Signal Region	chr10	129875369	129888769	mapped
BL000296	chr10	130396900	130408000	High Signal Region	chr10	130232769	130243869	mapped
BL000297	chr10	130542000	130694900	High Signal Region				unmapped
BL000298	chr11	0	3201000	High Signal Region				unmapped
BL000299	chr11	5167600	5182600	High Signal Region	chr11	5117600	5132600	mapped
BL000300	chr11	5361500	5365400	Low Mappability	chr11	5311500	5315400	mapped
BL000301	chr11	5552700	5558200	Low Mappability	chr11	5502700	5508200	mapped
BL000302	chr11	6141300	6148700	Low Mappability	chr11	6091300	6098700	mapped
BL000303	chr11	7489400	7492300	High Signal Region	chr11	7439400	7442300	mapped
BL000304	chr11	7752300	7774500	Low Mappability				unmapped
BL000305	chr11	8058600	8083100	Low Mappability	chr11	8008600	8033100	mapped
BL000306	chr11	8354900	8370700	High Signal Region	chr11	8304900	8320700	mapped
BL000307	chr11	8907200	8936100	Low Mappability	chr11	8857200	8886100	mapped
BL000308	chr11	9707900	9715100	Low Mappability	chr11	9657900	9665100	mapped
BL000309	chr11	9807600	9814200	Low Mappability	chr11	9757600	9764200	mapped
BL000310	chr11	10252000	10266800	High Signal Region	chr11	10202000	10216800	mapped
BL000311	chr11	10760200	10770800	Low Mappability	chr11	10710200	10720800	mapped
BL000312	chr11	11287200	11295100	High Signal Region	chr11	11237200	11245100	mapped
BL000313	chr11	12129400	12163100	High Signal Region	chr11	12079400	12113100	mapped
BL000314	chr11	12507200	12512700	Low Mappability	chr11	12457200	12462700	mapped
BL000315	chr11	12561900	12569100	Low Mappability	chr11	12511900	12519100	mapped
BL000316	chr11	12750500	12802700	High Signal Region	chr11	12700500	12752700	mapped
BL000317	chr11	12856200	12863700	High Signal Region	chr11	12806200	12813700	mapped
BL000318	chr11	12953900	12960700	Low Mappability	chr11	12903900	12910700	mapped
BL000319	chr11	14896500	14922100	High Signal Region	chr11	14846500	14872100	mapped
BL000320	chr11	15227600	15235000	Low Mappability	chr11	15177600	15185000	mapped
BL000321	chr11	16022400	16029000	High Signal Region	chr11	15972400	15979000	mapped
BL000322	chr11	16326500	16331700	High Signal Region	chr11	16276500	16281700	mapped
BL000323	chr11	16418200	16419600	High Signal Region	chr11	16368200	16369600	mapped
BL000324	chr11	16567100	16573100	High Signal Region	chr11	16517100	16523100	mapped
BL000325	chr11	17401400	17407800	High Signal Region	chr11	17351400	17357800	mapped
BL000326	chr11	18330900	18342700	High Signal Region	chr11	18280900	18292700	mapped
BL000327	chr11	18773800	18780100	High Signal Region	chr11	18723800	18730100	mapped
BL000328	chr11	19566100	19570600	Low Mappability	chr11	19516100	19520600	mapped
BL000329	chr11	19788600	19809400	Low Mappability	chr11	19738600	19759400	mapped
BL000330	chr11	20310000	20312000	High Signal Region	chr11	20260000	20262000	mapped
BL000331	chr11	20377900	20380400	High Signal Region	chr11	20327900	20330400	mapped
BL000332	chr11	22322000	22340700	Low Mappability	chr11	22272000	22290700	mapped
BL000333	chr11	22395200	22432900	Low Mappability	chr11	22345200	22382900	mapped
BL000334	chr11	22534700	22537000	Low Mappability	chr11	22484700	22487000	mapped
BL000335	chr11	23218500	23258100	Low Mappability	chr11	23168500	23208100	mapped
BL000336	chr11	23522600	23552900	High Signal Region	chr11	23472600	23502900	mapped
BL000337	chr11	24527400	24529500	Low Mappability	chr11	24477400	24479500	mapped
BL000338	chr11	25196800	25217300	High Signal Region	chr11	25146800	25167300	mapped
BL000339	chr11	25796400	25802200	Low Mappability	chr11	25746400	25752200	mapped
BL000340	chr11	26898500	26900500	High Signal Region	chr11	26848500	26850500	mapped
BL000341	chr11	27525200	27541400	High Signal Region	chr11	27475200	27491400	mapped
BL000342	chr11	28097200	28104500	Low Mappability	chr11	28047200	28054500	mapped
BL000343	chr11	29064100	29129900	Low Mappability	chr11	29014100	29079900	mapped
BL000344	chr11	29259900	29291300	High Signal Region	chr11	29209900	29241300	mapped
BL000345	chr11	29586000	29592400	Low Mappability	chr11	29536000	29542400	mapped
BL000346	chr11	30511100	30535400	High Signal Region	chr11	30461100	30485400	mapped
BL000347	chr11	31343800	31345700	Low Mappability	chr11	31293800	31295700	mapped
BL000348	chr11	33062300	33068800	Low Mappability	chr11	33012300	33018800	mapped
BL000349	chr11	34541000	34683100	High Signal Region				unmapped
