gene_symbol	gene_id	definition	selection_source	chrom	tss	strand	transcript_id	transcript_name	transcript_support_level	tags	n_annotated_transcripts
1110004F10Rik	ENSMUSG00000030663.13	legacy_most5_basic	legacy_most5_basic	chr7	115692535	+	ENSMUST00000032899.12	1110004F10Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	6
1110017D15Rik	ENSMUSG00000028441.13	ensembl_canonical	Ensembl_canonical	chr4	41517332	-	ENSMUST00000030152.13	1110017D15Rik-201	5	basic;Ensembl_canonical;appris_principal_1;CCDS	8
1110017D15Rik	ENSMUSG00000028441.13	appris_principal	APPRIS_principal	chr4	41517332	-	ENSMUST00000030152.13	1110017D15Rik-201	5	basic;Ensembl_canonical;appris_principal_1;CCDS	8
1110017D15Rik	ENSMUSG00000028441.13	legacy_most5_basic	legacy_most5_basic	chr4	41517332	-	ENSMUST00000095126.5	1110017D15Rik-202	3	basic;CCDS	8
1110025L11Rik	ENSMUSG00000068073.3	ensembl_canonical	Ensembl_canonical	chr16	88860889	-	ENSMUST00000089104.3	1110025L11Rik-201	NA	basic;Ensembl_canonical;appris_principal_1;CCDS	1
1110025L11Rik	ENSMUSG00000068073.3	appris_principal	APPRIS_principal	chr16	88860889	-	ENSMUST00000089104.3	1110025L11Rik-201	NA	basic;Ensembl_canonical;appris_principal_1;CCDS	1
1110025L11Rik	ENSMUSG00000068073.3	legacy_most5_basic	legacy_most5_basic	chr16	88860889	-	ENSMUST00000089104.3	1110025L11Rik-201	NA	basic;Ensembl_canonical;appris_principal_1;CCDS	1
1110032F04Rik	ENSMUSG00000046999.3	ensembl_canonical	Ensembl_canonical	chr3	68776918	+	ENSMUST00000054551.3	1110032F04Rik-201	NA	basic;Ensembl_canonical;appris_principal_1;CCDS	1
1110032F04Rik	ENSMUSG00000046999.3	appris_principal	APPRIS_principal	chr3	68776918	+	ENSMUST00000054551.3	1110032F04Rik-201	NA	basic;Ensembl_canonical;appris_principal_1;CCDS	1
1110032F04Rik	ENSMUSG00000046999.3	legacy_most5_basic	legacy_most5_basic	chr3	68776918	+	ENSMUST00000054551.3	1110032F04Rik-201	NA	basic;Ensembl_canonical;appris_principal_1;CCDS	1
1110038F14Rik	ENSMUSG00000063236.7	ensembl_canonical	Ensembl_canonical	chr15	76832705	+	ENSMUST00000071792.7	1110038F14Rik-201	1	basic;Ensembl_canonical;appris_principal_2;CCDS	4
1110038F14Rik	ENSMUSG00000063236.7	appris_principal	APPRIS_principal	chr15	76832705	+	ENSMUST00000071792.7	1110038F14Rik-201	1	basic;Ensembl_canonical;appris_principal_2;CCDS	4
1110038F14Rik	ENSMUSG00000063236.7	legacy_most5_basic	legacy_most5_basic	chr15	76832705	+	ENSMUST00000071792.7	1110038F14Rik-201	1	basic;Ensembl_canonical;appris_principal_2;CCDS	4
1110057P08Rik	ENSMUSG00000068067.3	ensembl_canonical	Ensembl_canonical	chr16	88971622	+	ENSMUST00000089097.3	1110057P08Rik-201	NA	basic;Ensembl_canonical;appris_principal_1	1
1110057P08Rik	ENSMUSG00000068067.3	appris_principal	APPRIS_principal	chr16	88971622	+	ENSMUST00000089097.3	1110057P08Rik-201	NA	basic;Ensembl_canonical;appris_principal_1	1
1110057P08Rik	ENSMUSG00000068067.3	legacy_most5_basic	legacy_most5_basic	chr16	88971622	+	ENSMUST00000089097.3	1110057P08Rik-201	NA	basic;Ensembl_canonical;appris_principal_1	1
1110059E24Rik	ENSMUSG00000035171.10	ensembl_canonical	Ensembl_canonical	chr19	21630339	-	ENSMUST00000038830.10	1110059E24Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	9
1110059E24Rik	ENSMUSG00000035171.10	appris_principal	APPRIS_principal	chr19	21630339	-	ENSMUST00000038830.10	1110059E24Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	9
1110059E24Rik	ENSMUSG00000035171.10	legacy_most5_basic	legacy_most5_basic	chr19	21630339	-	ENSMUST00000038830.10	1110059E24Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	9
1110059G10Rik	ENSMUSG00000032551.8	ensembl_canonical	Ensembl_canonical	chr9	122780064	-	ENSMUST00000035154.4	1110059G10Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	3
1110059G10Rik	ENSMUSG00000032551.8	appris_principal	APPRIS_principal	chr9	122780064	-	ENSMUST00000035154.4	1110059G10Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	3
1110059G10Rik	ENSMUSG00000032551.8	legacy_most5_basic	legacy_most5_basic	chr9	122780064	-	ENSMUST00000035154.4	1110059G10Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	3
1110065P20Rik	ENSMUSG00000078570.11	ensembl_canonical	Ensembl_canonical	chr4	124744988	-	ENSMUST00000185036.2	1110065P20Rik-206	2	not_organism_supported;basic;Ensembl_canonical	6
1110065P20Rik	ENSMUSG00000078570.11	appris_principal	APPRIS_principal	chr4	124744601	-	ENSMUST00000106190.10	1110065P20Rik-201	2	basic;appris_principal_1;CCDS	6
1110065P20Rik	ENSMUSG00000078570.11	legacy_most5_basic	legacy_most5_basic	chr4	124744988	-	ENSMUST00000185036.2	1110065P20Rik-206	2	not_organism_supported;basic;Ensembl_canonical	6
1190005I06Rik	ENSMUSG00000043687.17	ensembl_canonical	Ensembl_canonical	chr8	121361230	-	ENSMUST00000123927.9	1190005I06Rik-201	1	basic;Ensembl_canonical;CCDS	3
1190005I06Rik	ENSMUSG00000043687.17	appris_principal	APPRIS_principal	chr8	121374370	-	ENSMUST00000180677.2	1190005I06Rik-203	3	basic;appris_principal_1	3
1190005I06Rik	ENSMUSG00000043687.17	legacy_most5_basic	legacy_most5_basic	chr8	121374370	-	ENSMUST00000180677.2	1190005I06Rik-203	3	basic;appris_principal_1	3
1500009L16Rik	ENSMUSG00000087651.4	ensembl_canonical	Ensembl_canonical	chr10	83558728	+	ENSMUST00000150459.3	1500009L16Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	3
1500009L16Rik	ENSMUSG00000087651.4	appris_principal	APPRIS_principal	chr10	83558728	+	ENSMUST00000150459.3	1500009L16Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	3
1500009L16Rik	ENSMUSG00000087651.4	legacy_most5_basic	legacy_most5_basic	chr10	83558728	+	ENSMUST00000150459.3	1500009L16Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	3
1500011B03Rik	ENSMUSG00000072694.9	ensembl_canonical	Ensembl_canonical	chr5	114961505	-	ENSMUST00000100850.6	1500011B03Rik-202	1	basic;Ensembl_canonical;appris_principal_5;CCDS	5
1500011B03Rik	ENSMUSG00000072694.9	appris_principal	APPRIS_principal	chr5	114961505	-	ENSMUST00000100850.6	1500011B03Rik-202	1	basic;Ensembl_canonical;appris_principal_5;CCDS	5
1500011B03Rik	ENSMUSG00000072694.9	legacy_most5_basic	legacy_most5_basic	chr5	114961520	-	ENSMUST00000140374.2	1500011B03Rik-204	2	basic;appris_alternative_2	5
1600012H06Rik	ENSMUSG00000050088.10	ensembl_canonical	Ensembl_canonical	chr17	15163491	+	ENSMUST00000164837.3	1600012H06Rik-202	1	basic;Ensembl_canonical;appris_principal_1;CCDS	4
1600012H06Rik	ENSMUSG00000050088.10	appris_principal	APPRIS_principal	chr17	15163491	+	ENSMUST00000164837.3	1600012H06Rik-202	1	basic;Ensembl_canonical;appris_principal_1;CCDS	4
1600012H06Rik	ENSMUSG00000050088.10	legacy_most5_basic	legacy_most5_basic	chr17	15163445	+	ENSMUST00000052691.9	1600012H06Rik-201	1	alternative_5_UTR;basic;appris_principal_1;CCDS	4
1600014C10Rik	ENSMUSG00000054676.18	ensembl_canonical	Ensembl_canonical	chr7	37882641	+	ENSMUST00000178207.10	1600014C10Rik-202	1	basic;Ensembl_canonical;appris_principal_1	7
1600014C10Rik	ENSMUSG00000054676.18	appris_principal	APPRIS_principal	chr7	37882641	+	ENSMUST00000178207.10	1600014C10Rik-202	1	basic;Ensembl_canonical;appris_principal_1	7
1600014C10Rik	ENSMUSG00000054676.18	legacy_most5_basic	legacy_most5_basic	chr7	37882641	+	ENSMUST00000178207.10	1600014C10Rik-202	1	basic;Ensembl_canonical;appris_principal_1	7
1600014C23Rik	ENSMUSG00000094690.3	ensembl_canonical	Ensembl_canonical	chr17	46044769	-	ENSMUST00000178179.2	1600014C23Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	2
1600014C23Rik	ENSMUSG00000094690.3	appris_principal	APPRIS_principal	chr17	46044769	-	ENSMUST00000178179.2	1600014C23Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	2
1600014C23Rik	ENSMUSG00000094690.3	legacy_most5_basic	legacy_most5_basic	chr17	46044769	-	ENSMUST00000178179.2	1600014C23Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	2
1700001C19Rik	ENSMUSG00000047150.9	ensembl_canonical	Ensembl_canonical	chr17	47748299	-	ENSMUST00000061885.9	1700001C19Rik-201	1	basic;Ensembl_canonical;CCDS	4
1700001C19Rik	ENSMUSG00000047150.9	appris_principal	APPRIS_principal	chr17	47732804	-	ENSMUST00000073143.7	1700001C19Rik-202	2	basic;appris_principal_1;CCDS	4
1700001C19Rik	ENSMUSG00000047150.9	legacy_most5_basic	legacy_most5_basic	chr17	47748299	-	ENSMUST00000061885.9	1700001C19Rik-201	1	basic;Ensembl_canonical;CCDS	4
1700001F09Rik	ENSMUSG00000095384.2	ensembl_canonical	Ensembl_canonical	chr14	43205267	-	ENSMUST00000178178.2	1700001F09Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	1
1700001F09Rik	ENSMUSG00000095384.2	appris_principal	APPRIS_principal	chr14	43205267	-	ENSMUST00000178178.2	1700001F09Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	1
1700001F09Rik	ENSMUSG00000095384.2	legacy_most5_basic	legacy_most5_basic	chr14	43205267	-	ENSMUST00000178178.2	1700001F09Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	1
1700001J03Rik	ENSMUSG00000095040.3	ensembl_canonical	Ensembl_canonical	chr5	146122113	-	ENSMUST00000073721.7	1700001J03Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	2
1700001J03Rik	ENSMUSG00000095040.3	appris_principal	APPRIS_principal	chr5	146122113	-	ENSMUST00000073721.7	1700001J03Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	2
1700001J03Rik	ENSMUSG00000095040.3	legacy_most5_basic	legacy_most5_basic	chr5	146122113	-	ENSMUST00000073721.7	1700001J03Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	2
1700001K19Rik	ENSMUSG00000056508.7	ensembl_canonical	Ensembl_canonical	chr12	110649052	-	ENSMUST00000070659.7	1700001K19Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	2
1700001K19Rik	ENSMUSG00000056508.7	appris_principal	APPRIS_principal	chr12	110649052	-	ENSMUST00000070659.7	1700001K19Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	2
1700001K19Rik	ENSMUSG00000056508.7	legacy_most5_basic	legacy_most5_basic	chr12	110649052	-	ENSMUST00000070659.7	1700001K19Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	2
1700001O22Rik	ENSMUSG00000044320.15	ensembl_canonical	Ensembl_canonical	chr2	30691718	-	ENSMUST00000050003.9	1700001O22Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	13
1700001O22Rik	ENSMUSG00000044320.15	appris_principal	APPRIS_principal	chr2	30691718	-	ENSMUST00000050003.9	1700001O22Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	13
1700001O22Rik	ENSMUSG00000044320.15	legacy_most5_basic	legacy_most5_basic	chr2	30691718	-	ENSMUST00000050003.9	1700001O22Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	13
1700001P01Rik	ENSMUSG00000018543.9	ensembl_canonical	Ensembl_canonical	chr11	97666743	-	ENSMUST00000107576.2	1700001P01Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	1
1700001P01Rik	ENSMUSG00000018543.9	appris_principal	APPRIS_principal	chr11	97666743	-	ENSMUST00000107576.2	1700001P01Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	1
1700001P01Rik	ENSMUSG00000018543.9	legacy_most5_basic	legacy_most5_basic	chr11	97666743	-	ENSMUST00000107576.2	1700001P01Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	1
1700003E16Rik	ENSMUSG00000030030.6	ensembl_canonical	Ensembl_canonical	chr6	83133385	+	ENSMUST00000032106.6	1700003E16Rik-201	5	inferred_transcript_model;basic;Ensembl_canonical;appris_principal_1;CCDS	2
1700003E16Rik	ENSMUSG00000030030.6	appris_principal	APPRIS_principal	chr6	83133385	+	ENSMUST00000032106.6	1700003E16Rik-201	5	inferred_transcript_model;basic;Ensembl_canonical;appris_principal_1;CCDS	2
1700003E16Rik	ENSMUSG00000030030.6	legacy_most5_basic	legacy_most5_basic	chr6	83133385	+	ENSMUST00000032106.6	1700003E16Rik-201	5	inferred_transcript_model;basic;Ensembl_canonical;appris_principal_1;CCDS	2
1700003F12Rik	ENSMUSG00000038523.11	ensembl_canonical	Ensembl_canonical	chr2	154390846	+	ENSMUST00000109709.4	1700003F12Rik-202	3	basic;Ensembl_canonical	3
1700003F12Rik	ENSMUSG00000038523.11	appris_principal	APPRIS_principal	chr2	154390807	+	ENSMUST00000045116.11	1700003F12Rik-201	1	basic;appris_principal_1;CCDS	3
1700003F12Rik	ENSMUSG00000038523.11	legacy_most5_basic	legacy_most5_basic	chr2	154390807	+	ENSMUST00000045116.11	1700003F12Rik-201	1	basic;appris_principal_1;CCDS	3
1700003H04Rik	ENSMUSG00000039174.16	ensembl_canonical	Ensembl_canonical	chr3	124374739	-	ENSMUST00000180162.8	1700003H04Rik-205	5	basic;Ensembl_canonical;appris_principal_5	5
1700003H04Rik	ENSMUSG00000039174.16	appris_principal	APPRIS_principal	chr3	124374739	-	ENSMUST00000180162.8	1700003H04Rik-205	5	basic;Ensembl_canonical;appris_principal_5	5
1700003H04Rik	ENSMUSG00000039174.16	legacy_most5_basic	legacy_most5_basic	chr3	124374740	-	ENSMUST00000178485.8	1700003H04Rik-202	1	basic;appris_alternative_2;exp_conf	5
1700006A11Rik	ENSMUSG00000027973.12	ensembl_canonical	Ensembl_canonical	chr3	124219688	-	ENSMUST00000029598.10	1700006A11Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	2
1700006A11Rik	ENSMUSG00000027973.12	appris_principal	APPRIS_principal	chr3	124219688	-	ENSMUST00000029598.10	1700006A11Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	2
1700006A11Rik	ENSMUSG00000027973.12	legacy_most5_basic	legacy_most5_basic	chr3	124219688	-	ENSMUST00000029598.10	1700006A11Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	2
1700008O03Rik	ENSMUSG00000008028.16	ensembl_canonical	Ensembl_canonical	chr7	44024453	-	ENSMUST00000107933.8	1700008O03Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	5
1700008O03Rik	ENSMUSG00000008028.16	appris_principal	APPRIS_principal	chr7	44024453	-	ENSMUST00000107933.8	1700008O03Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	5
1700008O03Rik	ENSMUSG00000008028.16	legacy_most5_basic	legacy_most5_basic	chr7	44024453	-	ENSMUST00000107933.8	1700008O03Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	5
1700009N14Rik	ENSMUSG00000028287.5	ensembl_canonical	Ensembl_canonical	chr4	39450294	+	ENSMUST00000029955.5	1700009N14Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	1
1700009N14Rik	ENSMUSG00000028287.5	appris_principal	APPRIS_principal	chr4	39450294	+	ENSMUST00000029955.5	1700009N14Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	1
1700009N14Rik	ENSMUSG00000028287.5	legacy_most5_basic	legacy_most5_basic	chr4	39450294	+	ENSMUST00000029955.5	1700009N14Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	1
1700010I14Rik	ENSMUSG00000023873.14	ensembl_canonical	Ensembl_canonical	chr17	9207164	+	ENSMUST00000024650.12	1700010I14Rik-201	1	basic;Ensembl_canonical;appris_alternative_2;CCDS	5
1700010I14Rik	ENSMUSG00000023873.14	appris_principal	APPRIS_principal	chr17	9207188	+	ENSMUST00000151609.2	1700010I14Rik-203	1	basic;appris_principal_2;CCDS	5
1700010I14Rik	ENSMUSG00000023873.14	legacy_most5_basic	legacy_most5_basic	chr17	9207164	+	ENSMUST00000024650.12	1700010I14Rik-201	1	basic;Ensembl_canonical;appris_alternative_2;CCDS	5
1700011L22Rik	ENSMUSG00000031682.6	ensembl_canonical	Ensembl_canonical	chr8	79975198	-	ENSMUST00000034109.6	1700011L22Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	2
1700011L22Rik	ENSMUSG00000031682.6	appris_principal	APPRIS_principal	chr8	79975198	-	ENSMUST00000034109.6	1700011L22Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	2
1700011L22Rik	ENSMUSG00000031682.6	legacy_most5_basic	legacy_most5_basic	chr8	79975198	-	ENSMUST00000034109.6	1700011L22Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	2
1700011M02Rik	ENSMUSG00000079476.2	ensembl_canonical	Ensembl_canonical	chrX	101952510	+	ENSMUST00000113602.2	1700011M02Rik-201	1	basic;Ensembl_canonical;appris_principal_1	1
1700011M02Rik	ENSMUSG00000079476.2	appris_principal	APPRIS_principal	chrX	101952510	+	ENSMUST00000113602.2	1700011M02Rik-201	1	basic;Ensembl_canonical;appris_principal_1	1
1700011M02Rik	ENSMUSG00000079476.2	legacy_most5_basic	legacy_most5_basic	chrX	101952510	+	ENSMUST00000113602.2	1700011M02Rik-201	1	basic;Ensembl_canonical;appris_principal_1	1
1700012A03Rik	ENSMUSG00000029766.8	ensembl_canonical	Ensembl_canonical	chr6	32027219	+	ENSMUST00000031778.6	1700012A03Rik-201	1	basic;Ensembl_canonical;appris_principal_1;exp_conf;CCDS	4
1700012A03Rik	ENSMUSG00000029766.8	appris_principal	APPRIS_principal	chr6	32027219	+	ENSMUST00000031778.6	1700012A03Rik-201	1	basic;Ensembl_canonical;appris_principal_1;exp_conf;CCDS	4
1700012A03Rik	ENSMUSG00000029766.8	legacy_most5_basic	legacy_most5_basic	chr6	32027219	+	ENSMUST00000031778.6	1700012A03Rik-201	1	basic;Ensembl_canonical;appris_principal_1;exp_conf;CCDS	4
1700012B07Rik	ENSMUSG00000020617.14	ensembl_canonical	Ensembl_canonical	chr11	109718871	-	ENSMUST00000106674.8	1700012B07Rik-202	1	basic;Ensembl_canonical;appris_principal_5;CCDS	3
1700012B07Rik	ENSMUSG00000020617.14	appris_principal	APPRIS_principal	chr11	109718871	-	ENSMUST00000106674.8	1700012B07Rik-202	1	basic;Ensembl_canonical;appris_principal_5;CCDS	3
1700012B07Rik	ENSMUSG00000020617.14	legacy_most5_basic	legacy_most5_basic	chr11	109718871	-	ENSMUST00000106674.8	1700012B07Rik-202	1	basic;Ensembl_canonical;appris_principal_5;CCDS	3
1700012B09Rik	ENSMUSG00000031927.10	ensembl_canonical	Ensembl_canonical	chr9	14682308	-	ENSMUST00000191047.7	1700012B09Rik-204	3	basic;Ensembl_canonical	5
1700012B09Rik	ENSMUSG00000031927.10	appris_principal	APPRIS_principal	chr9	14682325	-	ENSMUST00000060330.5	1700012B09Rik-201	1	basic;appris_principal_1;CCDS	5
1700012B09Rik	ENSMUSG00000031927.10	legacy_most5_basic	legacy_most5_basic	chr9	14682325	-	ENSMUST00000060330.5	1700012B09Rik-201	1	basic;appris_principal_1;CCDS	5
1700013G24Rik	ENSMUSG00000041399.4	ensembl_canonical	Ensembl_canonical	chr4	137180594	+	ENSMUST00000048893.4	1700013G24Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	1
1700013G24Rik	ENSMUSG00000041399.4	appris_principal	APPRIS_principal	chr4	137180594	+	ENSMUST00000048893.4	1700013G24Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	1
1700013G24Rik	ENSMUSG00000041399.4	legacy_most5_basic	legacy_most5_basic	chr4	137180594	+	ENSMUST00000048893.4	1700013G24Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	1
1700013H16Rik	ENSMUSG00000054727.3	ensembl_canonical	Ensembl_canonical	chrX	52759797	-	ENSMUST00000067940.3	1700013H16Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	1
1700013H16Rik	ENSMUSG00000054727.3	appris_principal	APPRIS_principal	chrX	52759797	-	ENSMUST00000067940.3	1700013H16Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	1
1700013H16Rik	ENSMUSG00000054727.3	legacy_most5_basic	legacy_most5_basic	chrX	52759797	-	ENSMUST00000067940.3	1700013H16Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	1
1700014B07Rik	ENSMUSG00000118578.2	ensembl_canonical	Ensembl_canonical	chr2	6327890	-	ENSMUST00000238876.2	1700014B07Rik-201	NA	CAGE_supported_TSS;basic;Ensembl_canonical;appris_principal_1	1
1700014B07Rik	ENSMUSG00000118578.2	appris_principal	APPRIS_principal	chr2	6327890	-	ENSMUST00000238876.2	1700014B07Rik-201	NA	CAGE_supported_TSS;basic;Ensembl_canonical;appris_principal_1	1
1700014B07Rik	ENSMUSG00000118578.2	legacy_most5_basic	legacy_most5_basic	chr2	6327890	-	ENSMUST00000238876.2	1700014B07Rik-201	NA	CAGE_supported_TSS;basic;Ensembl_canonical;appris_principal_1	1
1700014D04Rik	ENSMUSG00000051054.5	ensembl_canonical	Ensembl_canonical	chr13	59892730	-	ENSMUST00000180139.3	1700014D04Rik-203	2	basic;Ensembl_canonical;appris_principal_1	3
1700014D04Rik	ENSMUSG00000051054.5	appris_principal	APPRIS_principal	chr13	59892730	-	ENSMUST00000180139.3	1700014D04Rik-203	2	basic;Ensembl_canonical;appris_principal_1	3
1700014D04Rik	ENSMUSG00000051054.5	legacy_most5_basic	legacy_most5_basic	chr13	59892730	-	ENSMUST00000180139.3	1700014D04Rik-203	2	basic;Ensembl_canonical;appris_principal_1	3
1700015G11Rik	ENSMUSG00000094445.8	ensembl_canonical	Ensembl_canonical	chr7	51665450	-	ENSMUST00000185758.2	1700015G11Rik-202	3	basic;Ensembl_canonical	4
1700015G11Rik	ENSMUSG00000094445.8	appris_principal	APPRIS_principal	chr7	51665475	-	ENSMUST00000180038.8	1700015G11Rik-201	1	basic;appris_principal_1;CCDS	4
1700015G11Rik	ENSMUSG00000094445.8	legacy_most5_basic	legacy_most5_basic	chr7	51665475	-	ENSMUST00000180038.8	1700015G11Rik-201	1	basic;appris_principal_1;CCDS	4
1700016C15Rik	ENSMUSG00000015962.6	ensembl_canonical	Ensembl_canonical	chr1	177557379	+	ENSMUST00000016106.6	1700016C15Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	1
1700016C15Rik	ENSMUSG00000015962.6	appris_principal	APPRIS_principal	chr1	177557379	+	ENSMUST00000016106.6	1700016C15Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	1
1700016C15Rik	ENSMUSG00000015962.6	legacy_most5_basic	legacy_most5_basic	chr1	177557379	+	ENSMUST00000016106.6	1700016C15Rik-201	1	basic;Ensembl_canonical;appris_principal_1;CCDS	1
1700016H13Rik	ENSMUSG00000029320.12	ensembl_canonical	Ensembl_canonical	chr5	103803875	-	ENSMUST00000119824.8	1700016H13Rik-202	5	alternative_5_UTR;basic;Ensembl_canonical;appris_principal_1;CCDS	7
