mouse_symbol	human_symbol	mapping_status	mapping_note	chrom	promoter_start	promoter_end	strand	tss	gene_id	transcript_id	transcript_name	selection_rule	tags	n_transcripts_for_symbol
Cd36	CD36	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr7	79998490	79998840	+	79998890	ENSG00000135218.13	ENST00000435819.1	CD36-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	17
Csf1	CSF1	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr1	110452854	110453204	+	110453254	ENSG00000184371.9	ENST00000329608.6	CSF1-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	9
Csf1r	CSF1R	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr5	149492985	149493335	-	149492934	ENSG00000182578.9	ENST00000286301.3	CSF1R-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	3
Ctsb	CTSB	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr8	11725788	11726138	-	11725737	ENSG00000164733.16	ENST00000353047.6	CTSB-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	25
Ctsd	CTSD	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr11	1785272	1785622	-	1785221	ENSG00000117984.8	ENST00000236671.2	CTSD-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	4
Cx3cr1	CX3CR1	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr3	39322814	39323164	-	39322763	ENSG00000168329.9	ENST00000541347.1	CX3CR1-202	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	6
Dnmt3a	DNMT3A	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr2	25475230	25475580	-	25475179	ENSG00000119772.12	ENST00000402667.1	DNMT3A-013	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal	5
Gdnf	GDNF	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr5	37839832	37840182	-	37839781	ENSG00000168621.10	ENST00000326524.2	GDNF-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	7
Grn	GRN	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr17	42422247	42422597	+	42422647	ENSG00000030582.12	ENST00000053867.3	GRN-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	14
Hdac1	HDAC1	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr1	32757286	32757636	+	32757686	ENSG00000116478.7	ENST00000373548.3	HDAC1-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	3
Hdac2	HDAC2	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr6	114292499	114292849	-	114292448	ENSG00000196591.7	ENST00000519065.1	HDAC2-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	13
Hexb	HEXB	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr5	73980568	73980918	+	73980968	ENSG00000049860.9	ENST00000261416.7	HEXB-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	4
Igf1	IGF1	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr12	102874473	102874823	-	102874422	ENSG00000017427.11	ENST00000337514.6	IGF1-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	6
Il10	IL10	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr1	206945889	206946239	-	206945838	ENSG00000136634.5	ENST00000423557.1	IL10-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	1
Il1b	IL1B	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr2	113594530	113594880	-	113594479	ENSG00000125538.7	ENST00000263341.2	IL1B-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	4
Il1rn	IL1RN	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr2	113884737	113885087	+	113885137	ENSG00000136689.14	ENST00000409930.3	IL1RN-005	APPRIS_principal_then_CCDS_basic_TSL_length	alternative_5_UTR;basic;appris_principal;CCDS	5
Il4ra	IL4R	symbol_or_curated	curated symbol mapping	chr16	27324833	27325183	+	27325233	ENSG00000077238.9	ENST00000395762.2	IL4R-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	12
Irf8	IRF8	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr16	85932008	85932358	+	85932408	ENSG00000140968.6	ENST00000268638.5	IRF8-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	9
Lamp1	LAMP1	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr13	113951155	113951505	+	113951555	ENSG00000185896.9	ENST00000332556.4	LAMP1-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	2
Lamp2	LAMP2	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chrX	119603270	119603620	-	119603219	ENSG00000005893.11	ENST00000434600.2	LAMP2-004	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_candidate_longest;CCDS	5
Lipa	LIPA	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr10	91011865	91012215	-	91011814	ENSG00000107798.13	ENST00000336233.5	LIPA-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	5
Lpl	LPL	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr8	19796081	19796431	+	19796481	ENSG00000175445.10	ENST00000311322.8	LPL-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	4
Map1lc3b	MAP1LC3B	symbol_or_curated	curated symbol mapping	chr16	87425005	87425355	+	87425405	ENSG00000140941.8	ENST00000268607.5	MAP1LC3B-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	3
Mcoln1	MCOLN1	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr19	7587111	7587461	+	7587511	ENSG00000090674.11	ENST00000264079.6	MCOLN1-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	3
Megf10	MEGF10	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr5	126626122	126626472	+	126626522	ENSG00000145794.12	ENST00000503335.2	MEGF10-004	APPRIS_principal_then_CCDS_basic_TSL_length	alternative_5_UTR;basic;appris_principal;CCDS	4
Mertk	MERTK	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr2	112655655	112656005	+	112656055	ENSG00000153208.12	ENST00000295408.4	MERTK-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	4
Mrc1	MRC1	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr10	18097951	18098301	+	18098351	ENSG00000120586.4	ENST00000239761.3	MRC1-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	1
Nfkb1	NFKB1	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr4	103422085	103422435	+	103422485	ENSG00000109320.7	ENST00000226574.4	NFKB1-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_candidate_longest;CCDS	8
Nr1h3	NR1H3	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr11	47279129	47279479	+	47279529	ENSG00000025434.14	ENST00000467728.1	NR1H3-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	16
P2ry12	P2RY12	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr3	151102650	151103000	-	151102599	ENSG00000169313.9	ENST00000302632.3	P2RY12-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	1
Pparg	PPARG	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr3	12328466	12328816	+	12328866	ENSG00000132170.15	ENST00000397010.2	PPARG-003	APPRIS_principal_then_CCDS_basic_TSL_length	alternative_5_UTR;not_organism_supported;basic;appris_principal;CCDS	11
Sall1	SALL1	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr16	51185236	51185586	-	51185185	ENSG00000103449.7	ENST00000251020.4	SALL1-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	5
Spi1	SPI1	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr11	47400177	47400527	-	47400126	ENSG00000066336.7	ENST00000378538.3	SPI1-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	4
Sqstm1	SQSTM1	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr5	179247358	179247708	+	179247758	ENSG00000161011.15	ENST00000389805.4	SQSTM1-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	8
Tet2	TET2	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr4	106067049	106067399	+	106067449	ENSG00000168769.8	ENST00000540549.1	TET2-202	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_candidate;CCDS	8
Tfe3	TFE3	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chrX	48901062	48901412	-	48901011	ENSG00000068323.12	ENST00000315869.7	TFE3-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	1
Tfeb	TFEB	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr6	41704047	41704397	-	41703996	ENSG00000112561.13	ENST00000403298.4	TFEB-201	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	16
Tgfb1	TGFB1	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr19	41859866	41860216	-	41859815	ENSG00000105329.5	ENST00000221930.5	TGFB1-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	2
Tmem119	TMEM119	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr12	108991950	108992300	-	108991899	ENSG00000183160.8	ENST00000392806.3	TMEM119-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	4
Tnf	TNF	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr6	31542943	31543293	+	31543343	ENSG00000232810.3	ENST00000449264.2	TNF-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	1
Trem2	TREM2	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr6	41130964	41131314	-	41130913	ENSG00000095970.12	ENST00000373113.3	TREM2-001	APPRIS_principal_then_CCDS_basic_TSL_length	basic;appris_principal;CCDS	3
Tyrobp	TYROBP	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr19	36399247	36399597	-	36399196	ENSG00000011600.7	ENST00000424586.3	TYROBP-008	APPRIS_principal_then_CCDS_basic_TSL_length	basic;CCDS	5
Vegfa	VEGFA	symbol_or_curated	upper-case symbol convention; replace with formal orthology table if promoted to main resource	chr6	43737549	43737899	+	43737949	ENSG00000112715.16	ENST00000372067.3	VEGFA-001	APPRIS_principal_then_CCDS_basic_TSL_length	non_ATG_start;basic;CCDS	19
