transcript_id	transcript_name	tss	chrom	promoter_start	promoter_end	tags	ccdsid	cas	passing_guides	n_supported_contexts	supported_contexts	promoter_overlap_context_count
ENST00000419396.1	TFEB-006	41702138	chr6	41702189	41702539	mRNA_end_NF;cds_end_NF		Nme2Cas9_NNNNCC	30	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000230323.4	TFEB-001	41702797	chr6	41702848	41703198	basic;appris_principal;CCDS	CCDS4858.1	Un1Cas12f1_TTTR	0	0		6
ENST00000230323.4	TFEB-001	41702797	chr6	41702848	41703198	basic;appris_principal;CCDS	CCDS4858.1	SaCas9_NNGRRT	1	4	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb	6
ENST00000230323.4	TFEB-001	41702797	chr6	41702848	41703198	basic;appris_principal;CCDS	CCDS4858.1	SpCas9_NGG	34	5	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;31K_rep2	6
ENST00000230323.4	TFEB-001	41702797	chr6	41702848	41703198	basic;appris_principal;CCDS	CCDS4858.1	CjCas9_NNNVRYM	19	5	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;31K_rep2	6
ENST00000230323.4	TFEB-001	41702797	chr6	41702848	41703198	basic;appris_principal;CCDS	CCDS4858.1	Nme2Cas9_NNNNCC	17	5	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;31K_rep2	6
ENST00000420312.1	TFEB-202	41702797	chr6	41702848	41703198	basic		Un1Cas12f1_TTTR	0	0		6
ENST00000420312.1	TFEB-202	41702797	chr6	41702848	41703198	basic		SaCas9_NNGRRT	1	4	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb	6
ENST00000420312.1	TFEB-202	41702797	chr6	41702848	41703198	basic		SpCas9_NGG	34	5	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;31K_rep2	6
ENST00000420312.1	TFEB-202	41702797	chr6	41702848	41703198	basic		CjCas9_NNNVRYM	19	5	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;31K_rep2	6
ENST00000420312.1	TFEB-202	41702797	chr6	41702848	41703198	basic		Nme2Cas9_NNNNCC	17	5	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;31K_rep2	6
ENST00000425401.1	TFEB-011	41702797	chr6	41702848	41703198	mRNA_end_NF;cds_end_NF		Un1Cas12f1_TTTR	0	0		6
ENST00000425401.1	TFEB-011	41702797	chr6	41702848	41703198	mRNA_end_NF;cds_end_NF		SaCas9_NNGRRT	1	4	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb	6
ENST00000425401.1	TFEB-011	41702797	chr6	41702848	41703198	mRNA_end_NF;cds_end_NF		SpCas9_NGG	34	5	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;31K_rep2	6
ENST00000425401.1	TFEB-011	41702797	chr6	41702848	41703198	mRNA_end_NF;cds_end_NF		CjCas9_NNNVRYM	19	5	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;31K_rep2	6
ENST00000425401.1	TFEB-011	41702797	chr6	41702848	41703198	mRNA_end_NF;cds_end_NF		Nme2Cas9_NNNNCC	17	5	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;31K_rep2	6
ENST00000373033.1	TFEB-005	41703345	chr6	41703396	41703746	basic;appris_principal;CCDS	CCDS4858.1	Un1Cas12f1_TTTR	5	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000373033.1	TFEB-005	41703345	chr6	41703396	41703746	basic;appris_principal;CCDS	CCDS4858.1	SaCas9_NNGRRT	7	4	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb	8
ENST00000373033.1	TFEB-005	41703345	chr6	41703396	41703746	basic;appris_principal;CCDS	CCDS4858.1	SpCas9_NGG	46	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000373033.1	TFEB-005	41703345	chr6	41703396	41703746	basic;appris_principal;CCDS	CCDS4858.1	CjCas9_NNNVRYM	40	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000373033.1	TFEB-005	41703345	chr6	41703396	41703746	basic;appris_principal;CCDS	CCDS4858.1	Nme2Cas9_NNNNCC	45	8	WTC11_rest;WTC11_IFNb;H1_rest;H1_IFNb;10K_rep1;31K_rep2;100K_rep3;100K2_rep4	8
ENST00000358871.2	TFEB-010	41703996	chr6	41704047	41704397	basic		Un1Cas12f1_TTTR	4	0		0
ENST00000358871.2	TFEB-010	41703996	chr6	41704047	41704397	basic		SaCas9_NNGRRT	9	0		0
ENST00000358871.2	TFEB-010	41703996	chr6	41704047	41704397	basic		SpCas9_NGG	60	0		0
ENST00000358871.2	TFEB-010	41703996	chr6	41704047	41704397	basic		CjCas9_NNNVRYM	43	0		0
ENST00000358871.2	TFEB-010	41703996	chr6	41704047	41704397	basic		Nme2Cas9_NNNNCC	50	0		0
ENST00000403298.4	TFEB-201	41703996	chr6	41704047	41704397	basic;appris_principal;CCDS	CCDS4858.1	Un1Cas12f1_TTTR	4	0		0
ENST00000403298.4	TFEB-201	41703996	chr6	41704047	41704397	basic;appris_principal;CCDS	CCDS4858.1	SaCas9_NNGRRT	9	0		0
ENST00000403298.4	TFEB-201	41703996	chr6	41704047	41704397	basic;appris_principal;CCDS	CCDS4858.1	SpCas9_NGG	60	0		0
ENST00000403298.4	TFEB-201	41703996	chr6	41704047	41704397	basic;appris_principal;CCDS	CCDS4858.1	CjCas9_NNNVRYM	43	0		0
ENST00000403298.4	TFEB-201	41703996	chr6	41704047	41704397	basic;appris_principal;CCDS	CCDS4858.1	Nme2Cas9_NNNNCC	50	0		0
