mouse_symbol	human_symbol	gene_id	transcript_id	tss	strand	cas	represented_systems	context	promoter_midpoint_accessible	promoter_any_peak_overlap	protospacers_total_passing	protospacers_fully_in_peak	protospacers_any_peak_overlap	targetable
Abca1	ABCA1	ENSG00000165029.11	ENST00000374736.3	107690517	-	CjCas9_NNNVRYM	MiniCAFE	H1_rest	True	True	24	24	24	True
Abca1	ABCA1	ENSG00000165029.11	ENST00000374736.3	107690517	-	CjCas9_NNNVRYM	MiniCAFE	H1_IFNb	True	True	24	24	24	True
Abca1	ABCA1	ENSG00000165029.11	ENST00000374736.3	107690517	-	Nme2Cas9_NNNNCC	proposed_dNme2Cas9_activator	WTC11_rest	False	True	39	8	16	True
Abca1	ABCA1	ENSG00000165029.11	ENST00000374736.3	107690517	-	Nme2Cas9_NNNNCC	proposed_dNme2Cas9_activator	WTC11_IFNb	True	True	39	36	38	True
Abca1	ABCA1	ENSG00000165029.11	ENST00000374736.3	107690517	-	Nme2Cas9_NNNNCC	proposed_dNme2Cas9_activator	H1_rest	True	True	39	39	39	True
Abca1	ABCA1	ENSG00000165029.11	ENST00000374736.3	107690517	-	Nme2Cas9_NNNNCC	proposed_dNme2Cas9_activator	H1_IFNb	True	True	39	39	39	True
Abcg1	ABCG1	ENSG00000160179.14	ENST00000398449.3	43639227	+	Un1Cas12f1_TTTR	HEAL;SminiCRa	WTC11_rest	False	False	0	0	0	False
Abcg1	ABCG1	ENSG00000160179.14	ENST00000398449.3	43639227	+	Un1Cas12f1_TTTR	HEAL;SminiCRa	WTC11_IFNb	False	False	0	0	0	False
Abcg1	ABCG1	ENSG00000160179.14	ENST00000398449.3	43639227	+	Un1Cas12f1_TTTR	HEAL;SminiCRa	H1_rest	False	False	0	0	0	False
Abcg1	ABCG1	ENSG00000160179.14	ENST00000398449.3	43639227	+	Un1Cas12f1_TTTR	HEAL;SminiCRa	H1_IFNb	False	True	0	0	0	False
Abcg1	ABCG1	ENSG00000160179.14	ENST00000398449.3	43639227	+	SaCas9_NNGRRT	SaCas9_CRISPRa	WTC11_rest	False	False	4	0	0	False
Abcg1	ABCG1	ENSG00000160179.14	ENST00000398449.3	43639227	+	SaCas9_NNGRRT	SaCas9_CRISPRa	WTC11_IFNb	False	False	4	0	0	False
Abcg1	ABCG1	ENSG00000160179.14	ENST00000398449.3	43639227	+	SaCas9_NNGRRT	SaCas9_CRISPRa	H1_rest	False	False	4	0	0	False
Abcg1	ABCG1	ENSG00000160179.14	ENST00000398449.3	43639227	+	SaCas9_NNGRRT	SaCas9_CRISPRa	H1_IFNb	False	True	4	0	1	False
Abcg1	ABCG1	ENSG00000160179.14	ENST00000398449.3	43639227	+	SpCas9_NGG	SpCas9_CRISPRa	WTC11_rest	False	False	40	0	0	False
Abcg1	ABCG1	ENSG00000160179.14	ENST00000398449.3	43639227	+	SpCas9_NGG	SpCas9_CRISPRa	WTC11_IFNb	False	False	40	0	0	False
Abcg1	ABCG1	ENSG00000160179.14	ENST00000398449.3	43639227	+	SpCas9_NGG	SpCas9_CRISPRa	H1_rest	False	False	40	0	0	False
Abcg1	ABCG1	ENSG00000160179.14	ENST00000398449.3	43639227	+	SpCas9_NGG	SpCas9_CRISPRa	H1_IFNb	False	True	40	5	13	True
Abcg1	ABCG1	ENSG00000160179.14	ENST00000398449.3	43639227	+	CjCas9_NNNVRYM	MiniCAFE	WTC11_rest	False	False	22	0	0	False
Abcg1	ABCG1	ENSG00000160179.14	ENST00000398449.3	43639227	+	CjCas9_NNNVRYM	MiniCAFE	WTC11_IFNb	False	False	22	0	0	False
Abcg1	ABCG1	ENSG00000160179.14	ENST00000398449.3	43639227	+	CjCas9_NNNVRYM	MiniCAFE	H1_rest	False	False	22	0	0	False
Abcg1	ABCG1	ENSG00000160179.14	ENST00000398449.3	43639227	+	CjCas9_NNNVRYM	MiniCAFE	H1_IFNb	False	True	22	4	10	True
Abcg1	ABCG1	ENSG00000160179.14	ENST00000398449.3	43639227	+	Nme2Cas9_NNNNCC	proposed_dNme2Cas9_activator	WTC11_rest	False	False	35	0	0	False
Abcg1	ABCG1	ENSG00000160179.14	ENST00000398449.3	43639227	+	Nme2Cas9_NNNNCC	proposed_dNme2Cas9_activator	WTC11_IFNb	False	False	35	0	0	False
Abcg1	ABCG1	ENSG00000160179.14	ENST00000398449.3	43639227	+	Nme2Cas9_NNNNCC	proposed_dNme2Cas9_activator	H1_rest	False	False	35	0	0	False
Abcg1	ABCG1	ENSG00000160179.14	ENST00000398449.3	43639227	+	Nme2Cas9_NNNNCC	proposed_dNme2Cas9_activator	H1_IFNb	False	True	35	6	15	True
Apoe	APOE	ENSG00000130203.5	ENST00000252486.4	45409010	+	Un1Cas12f1_TTTR	HEAL;SminiCRa	WTC11_rest	True	True	0	0	0	False
Apoe	APOE	ENSG00000130203.5	ENST00000252486.4	45409010	+	Un1Cas12f1_TTTR	HEAL;SminiCRa	WTC11_IFNb	True	True	0	0	0	False
Apoe	APOE	ENSG00000130203.5	ENST00000252486.4	45409010	+	Un1Cas12f1_TTTR	HEAL;SminiCRa	H1_rest	True	True	0	0	0	False
Apoe	APOE	ENSG00000130203.5	ENST00000252486.4	45409010	+	Un1Cas12f1_TTTR	HEAL;SminiCRa	H1_IFNb	True	True	0	0	0	False
Apoe	APOE	ENSG00000130203.5	ENST00000252486.4	45409010	+	SaCas9_NNGRRT	SaCas9_CRISPRa	WTC11_rest	True	True	6	1	2	True
Apoe	APOE	ENSG00000130203.5	ENST00000252486.4	45409010	+	SaCas9_NNGRRT	SaCas9_CRISPRa	WTC11_IFNb	True	True	6	6	6	True
Apoe	APOE	ENSG00000130203.5	ENST00000252486.4	45409010	+	SaCas9_NNGRRT	SaCas9_CRISPRa	H1_rest	True	True	6	6	6	True
Apoe	APOE	ENSG00000130203.5	ENST00000252486.4	45409010	+	SaCas9_NNGRRT	SaCas9_CRISPRa	H1_IFNb	True	True	6	6	6	True
Apoe	APOE	ENSG00000130203.5	ENST00000252486.4	45409010	+	SpCas9_NGG	SpCas9_CRISPRa	WTC11_rest	True	True	66	31	36	True
Apoe	APOE	ENSG00000130203.5	ENST00000252486.4	45409010	+	SpCas9_NGG	SpCas9_CRISPRa	WTC11_IFNb	True	True	66	59	66	True
Apoe	APOE	ENSG00000130203.5	ENST00000252486.4	45409010	+	SpCas9_NGG	SpCas9_CRISPRa	H1_rest	True	True	66	66	66	True
Apoe	APOE	ENSG00000130203.5	ENST00000252486.4	45409010	+	SpCas9_NGG	SpCas9_CRISPRa	H1_IFNb	True	True	66	66	66	True
Apoe	APOE	ENSG00000130203.5	ENST00000252486.4	45409010	+	CjCas9_NNNVRYM	MiniCAFE	WTC11_rest	True	True	34	18	22	True
Apoe	APOE	ENSG00000130203.5	ENST00000252486.4	45409010	+	CjCas9_NNNVRYM	MiniCAFE	WTC11_IFNb	True	True	34	31	33	True
Apoe	APOE	ENSG00000130203.5	ENST00000252486.4	45409010	+	CjCas9_NNNVRYM	MiniCAFE	H1_rest	True	True	34	34	34	True
Apoe	APOE	ENSG00000130203.5	ENST00000252486.4	45409010	+	CjCas9_NNNVRYM	MiniCAFE	H1_IFNb	True	True	34	33	34	True
Apoe	APOE	ENSG00000130203.5	ENST00000252486.4	45409010	+	Nme2Cas9_NNNNCC	proposed_dNme2Cas9_activator	WTC11_rest	True	True	56	35	41	True
Apoe	APOE	ENSG00000130203.5	ENST00000252486.4	45409010	+	Nme2Cas9_NNNNCC	proposed_dNme2Cas9_activator	WTC11_IFNb	True	True	56	50	54	True
Apoe	APOE	ENSG00000130203.5	ENST00000252486.4	45409010	+	Nme2Cas9_NNNNCC	proposed_dNme2Cas9_activator	H1_rest	True	True	56	56	56	True
Apoe	APOE	ENSG00000130203.5	ENST00000252486.4	45409010	+	Nme2Cas9_NNNNCC	proposed_dNme2Cas9_activator	H1_IFNb	True	True	56	54	56	True
Arg1	ARG1	ENSG00000118520.9	ENST00000368087.3	131894283	+	Un1Cas12f1_TTTR	HEAL;SminiCRa	WTC11_rest	False	False	4	0	0	False
Arg1	ARG1	ENSG00000118520.9	ENST00000368087.3	131894283	+	Un1Cas12f1_TTTR	HEAL;SminiCRa	WTC11_IFNb	False	False	4	0	0	False
Arg1	ARG1	ENSG00000118520.9	ENST00000368087.3	131894283	+	Un1Cas12f1_TTTR	HEAL;SminiCRa	H1_rest	False	False	4	0	0	False
Arg1	ARG1	ENSG00000118520.9	ENST00000368087.3	131894283	+	Un1Cas12f1_TTTR	HEAL;SminiCRa	H1_IFNb	False	False	4	0	0	False
Arg1	ARG1	ENSG00000118520.9	ENST00000368087.3	131894283	+	SaCas9_NNGRRT	SaCas9_CRISPRa	WTC11_rest	False	False	9	0	0	False
Arg1	ARG1	ENSG00000118520.9	ENST00000368087.3	131894283	+	SaCas9_NNGRRT	SaCas9_CRISPRa	WTC11_IFNb	False	False	9	0	0	False
Arg1	ARG1	ENSG00000118520.9	ENST00000368087.3	131894283	+	SaCas9_NNGRRT	SaCas9_CRISPRa	H1_rest	False	False	9	0	0	False
Arg1	ARG1	ENSG00000118520.9	ENST00000368087.3	131894283	+	SaCas9_NNGRRT	SaCas9_CRISPRa	H1_IFNb	False	False	9	0	0	False
Arg1	ARG1	ENSG00000118520.9	ENST00000368087.3	131894283	+	SpCas9_NGG	SpCas9_CRISPRa	WTC11_rest	False	False	32	0	0	False
Arg1	ARG1	ENSG00000118520.9	ENST00000368087.3	131894283	+	SpCas9_NGG	SpCas9_CRISPRa	WTC11_IFNb	False	False	32	0	0	False
Arg1	ARG1	ENSG00000118520.9	ENST00000368087.3	131894283	+	SpCas9_NGG	SpCas9_CRISPRa	H1_rest	False	False	32	0	0	False
Arg1	ARG1	ENSG00000118520.9	ENST00000368087.3	131894283	+	SpCas9_NGG	SpCas9_CRISPRa	H1_IFNb	False	False	32	0	0	False
Arg1	ARG1	ENSG00000118520.9	ENST00000368087.3	131894283	+	CjCas9_NNNVRYM	MiniCAFE	WTC11_rest	False	False	48	0	0	False
Arg1	ARG1	ENSG00000118520.9	ENST00000368087.3	131894283	+	CjCas9_NNNVRYM	MiniCAFE	WTC11_IFNb	False	False	48	0	0	False
Arg1	ARG1	ENSG00000118520.9	ENST00000368087.3	131894283	+	CjCas9_NNNVRYM	MiniCAFE	H1_rest	False	False	48	0	0	False
Arg1	ARG1	ENSG00000118520.9	ENST00000368087.3	131894283	+	CjCas9_NNNVRYM	MiniCAFE	H1_IFNb	False	False	48	0	0	False
Arg1	ARG1	ENSG00000118520.9	ENST00000368087.3	131894283	+	Nme2Cas9_NNNNCC	proposed_dNme2Cas9_activator	WTC11_rest	False	False	30	0	0	False
Arg1	ARG1	ENSG00000118520.9	ENST00000368087.3	131894283	+	Nme2Cas9_NNNNCC	proposed_dNme2Cas9_activator	WTC11_IFNb	False	False	30	0	0	False
Arg1	ARG1	ENSG00000118520.9	ENST00000368087.3	131894283	+	Nme2Cas9_NNNNCC	proposed_dNme2Cas9_activator	H1_rest	False	False	30	0	0	False
Arg1	ARG1	ENSG00000118520.9	ENST00000368087.3	131894283	+	Nme2Cas9_NNNNCC	proposed_dNme2Cas9_activator	H1_IFNb	False	False	30	0	0	False
Atg5	ATG5	ENSG00000057663.8	ENST00000369076.3	106773665	-	Un1Cas12f1_TTTR	HEAL;SminiCRa	WTC11_rest	True	True	6	5	6	True
Atg5	ATG5	ENSG00000057663.8	ENST00000369076.3	106773665	-	Un1Cas12f1_TTTR	HEAL;SminiCRa	WTC11_IFNb	True	True	6	2	3	True
Atg5	ATG5	ENSG00000057663.8	ENST00000369076.3	106773665	-	Un1Cas12f1_TTTR	HEAL;SminiCRa	H1_rest	True	True	6	4	4	True
Atg5	ATG5	ENSG00000057663.8	ENST00000369076.3	106773665	-	Un1Cas12f1_TTTR	HEAL;SminiCRa	H1_IFNb	True	True	6	5	6	True
Atg5	ATG5	ENSG00000057663.8	ENST00000369076.3	106773665	-	SaCas9_NNGRRT	SaCas9_CRISPRa	WTC11_rest	True	True	6	6	6	True
Atg5	ATG5	ENSG00000057663.8	ENST00000369076.3	106773665	-	SaCas9_NNGRRT	SaCas9_CRISPRa	WTC11_IFNb	True	True	6	5	5	True
Atg5	ATG5	ENSG00000057663.8	ENST00000369076.3	106773665	-	SaCas9_NNGRRT	SaCas9_CRISPRa	H1_rest	True	True	6	5	5	True
Atg5	ATG5	ENSG00000057663.8	ENST00000369076.3	106773665	-	SaCas9_NNGRRT	SaCas9_CRISPRa	H1_IFNb	True	True	6	6	6	True
Atg5	ATG5	ENSG00000057663.8	ENST00000369076.3	106773665	-	SpCas9_NGG	SpCas9_CRISPRa	WTC11_rest	True	True	35	34	34	True
Atg5	ATG5	ENSG00000057663.8	ENST00000369076.3	106773665	-	SpCas9_NGG	SpCas9_CRISPRa	WTC11_IFNb	True	True	35	27	27	True
Atg5	ATG5	ENSG00000057663.8	ENST00000369076.3	106773665	-	SpCas9_NGG	SpCas9_CRISPRa	H1_rest	True	True	35	27	30	True
Atg5	ATG5	ENSG00000057663.8	ENST00000369076.3	106773665	-	SpCas9_NGG	SpCas9_CRISPRa	H1_IFNb	True	True	35	34	34	True
Atg5	ATG5	ENSG00000057663.8	ENST00000369076.3	106773665	-	CjCas9_NNNVRYM	MiniCAFE	WTC11_rest	True	True	46	40	44	True
Atg5	ATG5	ENSG00000057663.8	ENST00000369076.3	106773665	-	CjCas9_NNNVRYM	MiniCAFE	WTC11_IFNb	True	True	46	22	25	True
Atg5	ATG5	ENSG00000057663.8	ENST00000369076.3	106773665	-	CjCas9_NNNVRYM	MiniCAFE	H1_rest	True	True	46	25	31	True
Atg5	ATG5	ENSG00000057663.8	ENST00000369076.3	106773665	-	CjCas9_NNNVRYM	MiniCAFE	H1_IFNb	True	True	46	40	44	True
Atg5	ATG5	ENSG00000057663.8	ENST00000369076.3	106773665	-	Nme2Cas9_NNNNCC	proposed_dNme2Cas9_activator	WTC11_rest	True	True	21	20	20	True
Atg5	ATG5	ENSG00000057663.8	ENST00000369076.3	106773665	-	Nme2Cas9_NNNNCC	proposed_dNme2Cas9_activator	WTC11_IFNb	True	True	21	13	17	True
Atg5	ATG5	ENSG00000057663.8	ENST00000369076.3	106773665	-	Nme2Cas9_NNNNCC	proposed_dNme2Cas9_activator	H1_rest	True	True	21	17	20	True
Atg5	ATG5	ENSG00000057663.8	ENST00000369076.3	106773665	-	Nme2Cas9_NNNNCC	proposed_dNme2Cas9_activator	H1_IFNb	True	True	21	20	20	True
Atg7	ATG7	ENSG00000197548.8	ENST00000354449.3	11314101	+	Un1Cas12f1_TTTR	HEAL;SminiCRa	WTC11_rest	True	True	3	1	2	True
Atg7	ATG7	ENSG00000197548.8	ENST00000354449.3	11314101	+	Un1Cas12f1_TTTR	HEAL;SminiCRa	WTC11_IFNb	True	True	3	1	1	True
Atg7	ATG7	ENSG00000197548.8	ENST00000354449.3	11314101	+	Un1Cas12f1_TTTR	HEAL;SminiCRa	H1_rest	True	True	3	1	2	True
Atg7	ATG7	ENSG00000197548.8	ENST00000354449.3	11314101	+	Un1Cas12f1_TTTR	HEAL;SminiCRa	H1_IFNb	True	True	3	1	2	True
Atg7	ATG7	ENSG00000197548.8	ENST00000354449.3	11314101	+	SaCas9_NNGRRT	SaCas9_CRISPRa	WTC11_rest	True	True	7	2	4	True
Atg7	ATG7	ENSG00000197548.8	ENST00000354449.3	11314101	+	SaCas9_NNGRRT	SaCas9_CRISPRa	WTC11_IFNb	True	True	7	2	4	True
Atg7	ATG7	ENSG00000197548.8	ENST00000354449.3	11314101	+	SaCas9_NNGRRT	SaCas9_CRISPRa	H1_rest	True	True	7	2	4	True
Atg7	ATG7	ENSG00000197548.8	ENST00000354449.3	11314101	+	SaCas9_NNGRRT	SaCas9_CRISPRa	H1_IFNb	True	True	7	2	4	True
Atg7	ATG7	ENSG00000197548.8	ENST00000354449.3	11314101	+	SpCas9_NGG	SpCas9_CRISPRa	WTC11_rest	True	True	50	30	34	True
Atg7	ATG7	ENSG00000197548.8	ENST00000354449.3	11314101	+	SpCas9_NGG	SpCas9_CRISPRa	WTC11_IFNb	True	True	50	30	34	True
Atg7	ATG7	ENSG00000197548.8	ENST00000354449.3	11314101	+	SpCas9_NGG	SpCas9_CRISPRa	H1_rest	True	True	50	32	34	True
Atg7	ATG7	ENSG00000197548.8	ENST00000354449.3	11314101	+	SpCas9_NGG	SpCas9_CRISPRa	H1_IFNb	True	True	50	32	34	True
Atg7	ATG7	ENSG00000197548.8	ENST00000354449.3	11314101	+	CjCas9_NNNVRYM	MiniCAFE	WTC11_rest	True	True	36	14	17	True
Atg7	ATG7	ENSG00000197548.8	ENST00000354449.3	11314101	+	CjCas9_NNNVRYM	MiniCAFE	WTC11_IFNb	True	True	36	14	16	True
Atg7	ATG7	ENSG00000197548.8	ENST00000354449.3	11314101	+	CjCas9_NNNVRYM	MiniCAFE	H1_rest	True	True	36	15	20	True
Atg7	ATG7	ENSG00000197548.8	ENST00000354449.3	11314101	+	CjCas9_NNNVRYM	MiniCAFE	H1_IFNb	True	True	36	15	20	True
Atg7	ATG7	ENSG00000197548.8	ENST00000354449.3	11314101	+	Nme2Cas9_NNNNCC	proposed_dNme2Cas9_activator	WTC11_rest	True	True	31	16	16	True
Atg7	ATG7	ENSG00000197548.8	ENST00000354449.3	11314101	+	Nme2Cas9_NNNNCC	proposed_dNme2Cas9_activator	WTC11_IFNb	True	True	31	16	16	True
Atg7	ATG7	ENSG00000197548.8	ENST00000354449.3	11314101	+	Nme2Cas9_NNNNCC	proposed_dNme2Cas9_activator	H1_rest	True	True	31	16	18	True
Atg7	ATG7	ENSG00000197548.8	ENST00000354449.3	11314101	+	Nme2Cas9_NNNNCC	proposed_dNme2Cas9_activator	H1_IFNb	True	True	31	16	18	True
Atp6v1h	ATP6V1H	ENSG00000047249.12	ENST00000359530.2	54755821	-	Un1Cas12f1_TTTR	HEAL;SminiCRa	WTC11_rest	True	True	6	2	4	True
Atp6v1h	ATP6V1H	ENSG00000047249.12	ENST00000359530.2	54755821	-	Un1Cas12f1_TTTR	HEAL;SminiCRa	WTC11_IFNb	True	True	6	2	5	True
Atp6v1h	ATP6V1H	ENSG00000047249.12	ENST00000359530.2	54755821	-	Un1Cas12f1_TTTR	HEAL;SminiCRa	H1_rest	True	True	6	2	5	True
Atp6v1h	ATP6V1H	ENSG00000047249.12	ENST00000359530.2	54755821	-	Un1Cas12f1_TTTR	HEAL;SminiCRa	H1_IFNb	True	True	6	2	5	True
Atp6v1h	ATP6V1H	ENSG00000047249.12	ENST00000359530.2	54755821	-	SaCas9_NNGRRT	SaCas9_CRISPRa	WTC11_rest	True	True	5	4	5	True
Atp6v1h	ATP6V1H	ENSG00000047249.12	ENST00000359530.2	54755821	-	SaCas9_NNGRRT	SaCas9_CRISPRa	WTC11_IFNb	True	True	5	4	5	True
Atp6v1h	ATP6V1H	ENSG00000047249.12	ENST00000359530.2	54755821	-	SaCas9_NNGRRT	SaCas9_CRISPRa	H1_rest	True	True	5	4	5	True
Atp6v1h	ATP6V1H	ENSG00000047249.12	ENST00000359530.2	54755821	-	SaCas9_NNGRRT	SaCas9_CRISPRa	H1_IFNb	True	True	5	4	5	True
Atp6v1h	ATP6V1H	ENSG00000047249.12	ENST00000359530.2	54755821	-	SpCas9_NGG	SpCas9_CRISPRa	WTC11_rest	True	True	32	31	31	True
Atp6v1h	ATP6V1H	ENSG00000047249.12	ENST00000359530.2	54755821	-	SpCas9_NGG	SpCas9_CRISPRa	WTC11_IFNb	True	True	32	31	31	True
Atp6v1h	ATP6V1H	ENSG00000047249.12	ENST00000359530.2	54755821	-	SpCas9_NGG	SpCas9_CRISPRa	H1_rest	True	True	32	31	31	True
Atp6v1h	ATP6V1H	ENSG00000047249.12	ENST00000359530.2	54755821	-	SpCas9_NGG	SpCas9_CRISPRa	H1_IFNb	True	True	32	31	31	True
Atp6v1h	ATP6V1H	ENSG00000047249.12	ENST00000359530.2	54755821	-	CjCas9_NNNVRYM	MiniCAFE	WTC11_rest	True	True	24	22	23	True
Atp6v1h	ATP6V1H	ENSG00000047249.12	ENST00000359530.2	54755821	-	CjCas9_NNNVRYM	MiniCAFE	WTC11_IFNb	True	True	24	23	23	True
Atp6v1h	ATP6V1H	ENSG00000047249.12	ENST00000359530.2	54755821	-	CjCas9_NNNVRYM	MiniCAFE	H1_rest	True	True	24	23	23	True
Atp6v1h	ATP6V1H	ENSG00000047249.12	ENST00000359530.2	54755821	-	CjCas9_NNNVRYM	MiniCAFE	H1_IFNb	True	True	24	23	23	True
Atp6v1h	ATP6V1H	ENSG00000047249.12	ENST00000359530.2	54755821	-	Nme2Cas9_NNNNCC	proposed_dNme2Cas9_activator	WTC11_rest	True	True	23	22	22	True
Atp6v1h	ATP6V1H	ENSG00000047249.12	ENST00000359530.2	54755821	-	Nme2Cas9_NNNNCC	proposed_dNme2Cas9_activator	WTC11_IFNb	True	True	23	22	23	True
Atp6v1h	ATP6V1H	ENSG00000047249.12	ENST00000359530.2	54755821	-	Nme2Cas9_NNNNCC	proposed_dNme2Cas9_activator	H1_rest	True	True	23	22	23	True
Atp6v1h	ATP6V1H	ENSG00000047249.12	ENST00000359530.2	54755821	-	Nme2Cas9_NNNNCC	proposed_dNme2Cas9_activator	H1_IFNb	True	True	23	22	23	True
Axl	AXL	ENSG00000167601.7	ENST00000301178.4	41725107	+	Un1Cas12f1_TTTR	HEAL;SminiCRa	WTC11_rest	False	False	2	0	0	False
Axl	AXL	ENSG00000167601.7	ENST00000301178.4	41725107	+	Un1Cas12f1_TTTR	HEAL;SminiCRa	WTC11_IFNb	False	False	2	0	0	False
Axl	AXL	ENSG00000167601.7	ENST00000301178.4	41725107	+	Un1Cas12f1_TTTR	HEAL;SminiCRa	H1_rest	False	False	2	0	0	False
Axl	AXL	ENSG00000167601.7	ENST00000301178.4	41725107	+	Un1Cas12f1_TTTR	HEAL;SminiCRa	H1_IFNb	True	True	2	2	2	True
Axl	AXL	ENSG00000167601.7	ENST00000301178.4	41725107	+	SaCas9_NNGRRT	SaCas9_CRISPRa	WTC11_rest	False	False	6	0	0	False
Axl	AXL	ENSG00000167601.7	ENST00000301178.4	41725107	+	SaCas9_NNGRRT	SaCas9_CRISPRa	WTC11_IFNb	False	False	6	0	0	False
Axl	AXL	ENSG00000167601.7	ENST00000301178.4	41725107	+	SaCas9_NNGRRT	SaCas9_CRISPRa	H1_rest	False	False	6	0	0	False
Axl	AXL	ENSG00000167601.7	ENST00000301178.4	41725107	+	SaCas9_NNGRRT	SaCas9_CRISPRa	H1_IFNb	True	True	6	6	6	True
Axl	AXL	ENSG00000167601.7	ENST00000301178.4	41725107	+	SpCas9_NGG	SpCas9_CRISPRa	WTC11_rest	False	False	51	0	0	False
Axl	AXL	ENSG00000167601.7	ENST00000301178.4	41725107	+	SpCas9_NGG	SpCas9_CRISPRa	WTC11_IFNb	False	False	51	0	0	False
Axl	AXL	ENSG00000167601.7	ENST00000301178.4	41725107	+	SpCas9_NGG	SpCas9_CRISPRa	H1_rest	False	False	51	0	0	False
Axl	AXL	ENSG00000167601.7	ENST00000301178.4	41725107	+	SpCas9_NGG	SpCas9_CRISPRa	H1_IFNb	True	True	51	51	51	True
Axl	AXL	ENSG00000167601.7	ENST00000301178.4	41725107	+	CjCas9_NNNVRYM	MiniCAFE	WTC11_rest	False	False	20	0	0	False
Axl	AXL	ENSG00000167601.7	ENST00000301178.4	41725107	+	CjCas9_NNNVRYM	MiniCAFE	WTC11_IFNb	False	False	20	0	0	False
Axl	AXL	ENSG00000167601.7	ENST00000301178.4	41725107	+	CjCas9_NNNVRYM	MiniCAFE	H1_rest	False	False	20	0	0	False
Axl	AXL	ENSG00000167601.7	ENST00000301178.4	41725107	+	CjCas9_NNNVRYM	MiniCAFE	H1_IFNb	True	True	20	20	20	True
Axl	AXL	ENSG00000167601.7	ENST00000301178.4	41725107	+	Nme2Cas9_NNNNCC	proposed_dNme2Cas9_activator	WTC11_rest	False	False	32	0	0	False
Axl	AXL	ENSG00000167601.7	ENST00000301178.4	41725107	+	Nme2Cas9_NNNNCC	proposed_dNme2Cas9_activator	WTC11_IFNb	False	False	32	0	0	False
Axl	AXL	ENSG00000167601.7	ENST00000301178.4	41725107	+	Nme2Cas9_NNNNCC	proposed_dNme2Cas9_activator	H1_rest	False	False	32	0	0	False
Axl	AXL	ENSG00000167601.7	ENST00000301178.4	41725107	+	Nme2Cas9_NNNNCC	proposed_dNme2Cas9_activator	H1_IFNb	True	True	32	32	32	True
Bdnf	BDNF	ENSG00000176697.14	ENST00000525950.1	27742325	-	Un1Cas12f1_TTTR	HEAL;SminiCRa	WTC11_rest	False	False	2	0	0	False
Bdnf	BDNF	ENSG00000176697.14	ENST00000525950.1	27742325	-	Un1Cas12f1_TTTR	HEAL;SminiCRa	WTC11_IFNb	False	False	2	0	0	False
Bdnf	BDNF	ENSG00000176697.14	ENST00000525950.1	27742325	-	Un1Cas12f1_TTTR	HEAL;SminiCRa	H1_rest	False	False	2	0	0	False
Bdnf	BDNF	ENSG00000176697.14	ENST00000525950.1	27742325	-	Un1Cas12f1_TTTR	HEAL;SminiCRa	H1_IFNb	False	False	2	0	0	False
